date,close,open,high,low,volume
1995-06-14,2.27,2.3,2.3,2.25,2070000.0
1995-06-15,2.26,2.28,2.31,2.25,4246000.0
1995-06-18,2.26,2.26,2.27,2.22,1798000.0
1995-06-19,2.25,2.26,2.26,2.24,2792000.0
1995-06-20,2.27,2.33,2.33,2.27,1182000.0
1995-06-21,2.23,2.27,2.27,2.22,1758000.0
1995-06-22,2.21,2.25,2.25,2.19,992000.0
1995-06-25,2.1,2.17,2.17,2.09,1656000.0
1995-06-26,2.08,2.1,2.1,2.02,1744000.0
1995-06-27,2.13,2.1,2.15,2.07,2038000.0
1995-06-28,2.11,2.13,2.15,2.1,1248000.0
1995-06-29,2.07,2.1,2.1,2.06,1224000.0
1995-07-02,1.99,2.0,2.08,1.97,1916000.0
1995-07-03,1.97,1.95,2.0,1.94,2310000.0
1995-07-04,1.98,2.0,2.04,1.97,2116000.0
1995-07-05,1.97,1.97,1.97,1.95,1674000.0
1995-07-06,2.0,1.99,2.01,1.98,834000.0
1995-07-09,2.03,2.0,2.05,2.0,1840000.0
1995-07-10,2.03,1.92,2.04,1.92,2182000.0
1995-07-11,2.06,2.09,2.09,2.05,718000.0
1995-07-12,2.08,2.07,2.09,2.05,886000.0
1995-07-13,2.17,2.1,2.19,2.09,3996000.0
1995-07-16,2.24,2.25,2.26,2.21,2028000.0
1995-07-17,2.21,2.23,2.25,2.19,2252000.0
1995-07-18,2.21,2.19,2.22,2.19,1176000.0
1995-07-19,2.23,2.25,2.26,2.22,1352000.0
1995-07-20,2.2,2.2,2.23,2.18,1326000.0
1995-07-23,2.2,2.24,2.24,2.19,1144000.0
1995-07-24,2.19,2.21,2.21,2.17,1790000.0
1995-07-25,2.22,2.24,2.24,2.22,806000.0
1995-07-26,2.19,2.21,2.22,2.17,886000.0
1995-07-27,2.12,2.15,2.15,2.07,698000.0
1995-07-30,2.08,2.07,2.1,2.05,704000.0
1995-07-31,2.06,2.06,2.11,2.05,684000.0
1995-08-01,2.11,2.11,2.11,2.09,366000.0
1995-08-02,2.09,2.11,2.12,2.08,568000.0
1995-08-03,2.09,2.0,2.1,2.0,430000.0
1995-08-06,2.08,2.1,2.1,2.06,420000.0
1995-08-07,2.07,2.08,2.1,2.06,722000.0
1995-08-08,2.07,2.07,2.09,2.06,336000.0
1995-08-10,2.07,2.07,2.08,2.05,352000.0
1995-08-13,2.06,2.05,2.07,2.05,334000.0
1995-08-15,2.06,2.07,2.08,2.06,302000.0
1995-08-16,2.06,2.1,2.1,2.05,254000.0
1995-08-17,2.07,2.06,2.09,2.06,366000.0
1995-08-20,2.06,2.07,2.07,2.05,238000.0
1995-08-21,2.04,2.05,2.07,2.02,716000.0
1995-08-22,2.04,2.05,2.06,2.04,166000.0
1995-08-23,2.04,2.02,2.05,2.0,336000.0
1995-08-24,2.0,2.05,2.05,1.97,504000.0
1995-08-27,1.96,1.98,2.0,1.95,754000.0
1995-08-29,1.96,1.95,1.99,1.94,428000.0
1995-08-30,1.96,1.96,1.98,1.95,286000.0
1995-08-31,1.97,1.97,1.97,1.95,222000.0
1995-09-03,1.97,1.97,1.99,1.96,280000.0
1995-09-04,1.94,1.95,1.97,1.94,446000.0
1995-09-05,1.95,1.95,1.96,1.78,686000.0
1995-09-06,1.93,1.96,1.98,1.93,816000.0
1995-09-07,1.93,1.94,1.94,1.93,312000.0
1995-09-10,1.92,1.96,1.96,1.92,628000.0
1995-09-11,1.91,1.92,1.92,1.9,680000.0
1995-09-12,1.92,1.9,1.94,1.9,286000.0
1995-09-13,1.9,1.92,1.92,1.88,510000.0
1995-09-14,1.87,1.82,1.89,1.82,646000.0
1995-09-17,1.87,1.9,1.9,1.86,418000.0
1995-09-18,1.84,1.86,1.87,1.84,1264000.0
1995-09-19,1.83,1.85,1.85,1.8,776000.0
1995-09-20,1.81,1.85,1.85,1.8,1188000.0
1995-09-21,1.82,1.8,1.84,1.79,1090000.0
1995-09-24,1.82,1.82,1.84,1.8,1154000.0
1995-09-25,1.82,1.82,1.84,1.8,2260000.0
1995-09-26,1.82,1.85,1.85,1.81,1850000.0
1995-09-27,1.82,1.82,1.84,1.81,578000.0
1995-09-28,1.82,1.82,1.82,1.81,680000.0
1995-10-03,1.86,1.85,1.87,1.82,540000.0
1995-10-04,1.9,1.87,1.94,1.87,1362000.0
1995-10-05,1.9,1.9,1.93,1.9,1540000.0
1995-10-08,1.92,1.91,1.95,1.91,1048000.0
1995-10-09,1.89,1.92,1.92,1.87,1632000.0
1995-10-10,1.88,1.89,1.92,1.88,988000.0
1995-10-11,1.88,1.88,1.9,1.87,1218000.0
1995-10-12,1.85,1.88,1.88,1.83,1044000.0
1995-10-15,1.84,1.85,1.86,1.82,1212000.0
1995-10-16,1.81,1.84,1.84,1.8,1252000.0
1995-10-17,1.79,1.8,1.83,1.75,1538000.0
1995-10-18,1.75,1.79,1.8,1.74,1914000.0
1995-10-19,1.71,1.75,1.75,1.71,2190000.0
1995-10-22,1.71,1.74,1.74,1.69,1458000.0
1995-10-23,1.65,1.71,1.72,1.6,606000.0
1995-10-24,1.7,1.69,1.71,1.69,374000.0
1995-10-25,1.67,1.7,1.75,1.65,758000.0
1995-10-26,1.67,1.67,1.68,1.65,1230000.0
1995-10-29,1.68,1.65,1.69,1.65,628000.0
1995-10-30,1.7,1.68,1.71,1.67,628000.0
1995-10-31,1.71,1.7,1.72,1.7,586000.0
1995-11-01,1.7,1.75,1.75,1.69,682000.0
1995-11-02,1.71,1.7,1.73,1.7,314000.0
1995-11-05,1.71,1.71,1.73,1.7,610000.0
1995-11-06,1.69,1.71,1.71,1.69,592000.0
1995-11-07,1.69,1.69,1.7,1.68,392000.0
1995-11-08,1.62,1.67,1.67,1.62,906000.0
1995-11-09,1.63,1.62,1.65,1.61,552000.0
1995-11-12,1.57,1.6,1.6,1.56,1020000.0
1995-11-13,1.51,1.56,1.56,1.49,1466000.0
1995-11-14,1.53,1.51,1.53,1.49,1384000.0
