Date,Title
2021-01-01,"Sensex rises 118 points to settle at fresh closing high; Nifty ends above 14,000 for first time ever - Times of India"
2021-01-04,"Sensex ends 308 pts up at 48,177, Nifty at 14,133; Nifty metal surges 5% - Business Standard"
2021-01-05,"Closing Bell: Nifty ends at 14,200, Sensex gains 261 pts led by IT, financials - Moneycontrol"
2021-01-01,"Sensex, Nifty end at record high on first day of 2021; PSU banks shine - livemint.com"
2021-01-08,"Sensex ends at fresh closing peak of 48,782, up 689 pts; Nifty at 14,347 - Business Standard"
2021-01-06,"Closing Bell: Nifty below 14,150, Sensex falls 263 pts drag by IT, FMCG stocks - Moneycontrol"
2021-01-03,Indices near day's high; metal stocks shine - Yahoo Finance Singapore
2021-01-07,"Sensex ends 81 points lower, Nifty at 14,137; metal stocks shine - livemint.com"
2021-01-03,Conundrum of contrasts in the Indian economy - The New Indian Express
2021-01-05,"Sensex ends 261 pts up at record closing peak of 48,438; IT stocks outrun - Business Standard"
2021-01-07,D-St on a high! 48 out of 50 Nifty stocks above 50 & 200 DMA; time to book profits? - Moneycontrol
2021-01-05,"Sensex takes winning streak to 10th day, Nifty ends at 14,200; IT stocks shine - livemint.com"
2021-01-04,ATG renamed as Yokohama OHT - Times of India
2021-01-04,"2020 wrap: Sensex, Nifty rallied 15% last year - Moneycontrol"
2021-01-04,"Sensex soars past 48k, Nifty ends at 14,133; metal, IT stocks shine - livemint.com"
2021-01-01,IndiGo says some of its ‘servers were hacked in early December’ - Times of India
2021-01-01,"The biggest market winners and losers of 2020, at home and abroad - Moneycontrol"
2021-01-06,Warburg invests $100 mn in boAt - livemint.com
2021-01-14,Sensex and Nifty end at fresh record highs; TCS jumps 3% - The Indian Express
2021-01-13,"Closing Bell: Sensex, Nifty end flat amid high volatility; PSU banks outperform - Moneycontrol"
2021-01-15,"Banks, IT stocks drag Sensex by 550 pts; Nifty ends at 14,434; Airtel top gainer - livemint.com"
2021-01-14,"Sensex at 1,00,000! When and how? - Business Today"
2021-01-15,"Sensex ends 549 pts down at 49,035; HCL Tech declines 4%; Tata Motors up 7% - Business Standard"
