Date,Title,Link,Publisher
2021-01-11 08:00:00,From start-up to world-beater: HDFC Bank’s steady rise - mckinsey.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPRmsxaWZNNExiQVFiTzNvX1E0b0tMaFVvNjJham4xLU01QS1CMlJyMTFBd18tTGYtcHp2dUhKVkZQVXNFeEQ5bjVIYlRhQUVnNGthYWx6RGtzeHM5cFBxRUxPUEoyLWN1T2dqU2EyVm1nMmtaSjNkSWZGNW00TUNYcTNpeFQzRXBmTkdhS0ltZFQwRG9KZmFRb0hFQ3J6SWk5OXRiOTUzdVpHUHJ1QV8w?oc=5&hl=en-US&gl=US&ceid=US:en,mckinsey.com
2021-01-22 08:00:00,"HDFC Bank submits plan of action to RBI, hopes to fix outage issue in 3 months - The Hindu",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNaUwtLXFrTG9Vb3ZkcTNjd0prRl9BNERyNGNxSnBzTzZIbWhQdUxfcFBuSjFkS0RvMHdpVWlxcFlJSFM4V1hjOG5pVmRCZFhSQk9mQ3RhUldjd0N1bHlwcVNkU3NPQXdlOXBwSlRVd18xQWgxOEZvc1A5Z1hsd3Jub090dDBLcm5XVTZOcldlLVlJdDZ6U0lHX1J6OWRkczdpekVJZ2dHS3ZkSkxRUnEwdGxnaE1PaWQtZEs3YTJ5UUhDdWlyZTNXMlFiYXVfaWphckxrS1hpa9IB3gFBVV95cUxQM2JVUVNfVV9Temg0dzdZYnJKblpjb0NwSVNNeFp3b1RrTnZLU1RiSVBVcVl4b0hBY3F5d05IOTJXT0NVMnJNdmpIeFpianNBemlFYUtEV2JQOExFVzd3UmxtUFQxanE1dy1iOEJSQ0wxVlluQWlXclZXU3c0eUJibndpSXQwSjNpN1psa3kxdlFlTGZ0YWJKam5YMmVtZ296Q04yZDBIM0tRMWdLNVVuTWp5Skhsa1RlQ3NlY0RtNVNZb05wYnh0bGpRNlVxTWlFajY5aGRNZmNpMi1mZ1E?oc=5&hl=en-US&gl=US&ceid=US:en,The Hindu
2021-01-20 08:00:00,"SBI, ICICI Bank, HDFC Bank are ‘too-big-to-fail’: RBI - Elets BFSI",https://news.google.com/rss/articles/CBMihAFBVV95cUxQVEtFMW12QV8ycW5VeGlWM01nRkV3aXJDc0xUYzd2WlBPWVBtS1p1WmFBZjJyX1pYRm9pem9CcXU5NUZ5M2hJVDltV19maGlCajdJbkkzVlB4UXhycE5WblplbTBQOXExaUdPdVBqeEEwSktrSDlDcjNudEswOHRnSW1ZemI?oc=5&hl=en-US&gl=US&ceid=US:en,Elets BFSI
2021-01-19 08:00:00,HDFC Bank signals IT issues may not be fixed by March - Times of India,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPazB6ZmdhTVk2TWdENW9FT0h2aXdDN05rT0pfU3A4Rnp5cFdvYllCd2lsamdzUFJKblhPNHNSZkRhb3VKRTIxRDRZZkptZlVCUzJXeURqVG41eDBsSzQ2YXdLRVlnemlUX1Z1akZqX28xNXVESkFGYzhRdWh4ODJ4ekVfdW1TTkZzQU0tY3d3MmJBc1dDMUdEOXdCYmswQUxVWXBWMW5XbExMWHZxTlpyUWVzVkFWdGxJR1QzazIydG9wUVhSeFlET05tcl9GQ3BfQ2k0TdIB2gFBVV95cUxOQTQxTWdfcjJyb25XT3k5VFgxZzZVYW5JdEdJSHoyYVVfTm02OUxvQkJPX3k2QldjQ1h2T1YwUFNrMGtTMGJ3QTJLR011Zy1halZKVTVXc01XLUxNbXdRb29SVTY0aGY5R01pWTFoeXhrbXJ0Q2tHQndOWjlWWEpsVHBNS1RudUpNcmVmWGJYUUxVLTItMGxjRkxLSjM0d1IwbEZfU01zd0s5TXhOZk03OU85MElRM05lSktDTnd6SjFuckdmRHFCWmxDa1A0dzdiT0UxTGNaV181dw?oc=5&hl=en-US&gl=US&ceid=US:en,Times of India
2021-01-25 08:00:00,"HDFC Bank branch in Chennai illegally demands Aadhaar details, biometric details to update info - The New Indian Express",https://news.google.com/rss/articles/CBMi-gFBVV95cUxPMEtLb0U2Q0k2RnRpSUdrNU1kY2lKTDFCYjZ0cHlSTG1hODVzVEc1THVOWF8zSUwxaEkxQUp1cnhHZnFPYlJsOHNmOWVPTUR1NlRpZkFFOERGNnhhaUFfTF9TNTZjLUZUdThNNlAwbTRzNElXazR5b2Y2bXdYZ3pKaUVVRzJ5YU1zamtILU45dGtqaVYxTUlSOTFXVm9FVUZhNzV2a3pLSFFHRExXaVIwM3d3d19zWFhGcUVKZDRXd0EtbmQ5ay1oUGZxZWlzcVlDN3RTdUdKbHMyNEhwekRDMGRFY2JTVDRsdnFpV0h2U0NnVndZRWFwYUR30gGHAkFVX3lxTE1JV0ZUWXhxa2NYeTF0TVBxVzZudUJuVmZueU5zejZFYXFsTDBfZ1BfNi1QYnIteTlpSDhfdFlaZzU2S2xUZHhlT3FWcUpjdFZrcTZvUHVuODlPRXdnNUp5Vk9PODRqSFlKRjkzbm9MWnV4ZXlaMVlIWnJTUC1NMndCYjVJNUpySDFnRFhDYlFIUE9KX2xnaHRkSXBsMzUxdWVDZ2NORnhMV0lTZnVfNGFCU2xfbVllM3NDT21UNFBEUVJDbWRLbEgyekhoRWFaeko1SXVfR2ljaE9ZNFhva3dvblVodzVURmhQS0ZjQlp6WjJpNGN1Mmg1MDBUZG5wT3RwVDRvRjlv?oc=5&hl=en-US&gl=US&ceid=US:en,The New Indian Express
2021-01-08 08:00:00,In case you missed it | HDFC-HDFC Bank merger: A financial giant in the making? - Moneycontrol,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNZHo2SG9PTUh3SmVSRWcwV2hfLUlJa2hlMk1LU2NrSThIMkVEbGMxNzJaZTB6Um9adWxDamh6eDhVY3VCb2E3ZFRoNzFWQzg0akp2bWlJRlM1cVNtYnVuOEJ4aHZDVXlBbTlxOEpWcklmYWNqWWQyQXhMc0s3eEFDMXRBSjZvNmhnRmxraW1JR3Npek9WUllPTlVMSFNJd3JYbGI0VTBtbm9XNUdaR1ZkYzVMT1Nwd0l5U0xjTzlRRHBPNWVDSnNqTWs3Y1djazMtczZ5bnV5VFJNWHdHeTU4NmQ4alM3N3VT0gHuAUFVX3lxTE9iY3BlME9fQ3RpZDBjSFNIOHczdVNkQzBORjBoY3pTbGpYSGQtd29oVWRfSDF2cE1CVVk1WkpXSUpDcXFLYzRhMGVFYjlNS3R6NFRHQTVCcWI2c0swNmM5R2FISTM0UjBscXVJTmxGTm9BN21NVXhsWVdYMURQWGxDZ214ODRld1hkUUhzendQaVVHUjRlWGtiMTFLSk1qVERXdURvNHFVUHpHeTBGa3U1VFlib09KMURiUmpEakFRcFRUTXVEZF95bXczdXo3VTJLNUNKeDZnc3RjRkdlRFpzb0hnOHpLQ2U4WUpoWGc?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-15 08:00:00,Dubai-based executive of HDFC Bank made to pay tax on ESOPs in India - Moneylife,https://news.google.com/rss/articles/CBMitAFBVV95cUxPdmF1c3BnLUVRNTJCWnh1aHlwM3lYX3V6emI4N1hmVnk5OC1wTlNNRFI3SG5VV0xWajdsUUJnSVhPcmhvMng1OVd3N1VVaDdiVDdjeURVRC03cWo1dVB6ZzIzR3BVbnRmVll5ZEJpelZ2UWFfWXlCbGpFNFl4enFqYkpnSURoejhNWXhoZEZGTG5FcDEybVZRS2JlUVVCdmt2UnVjeTcyeEh4d1UwUVFQTHRTQ08?oc=5&hl=en-US&gl=US&ceid=US:en,Moneylife
2021-01-22 08:00:00,SEBI imposes Rs 1 cr penalty on HDFC Bank for wrongly invoking pledge of securities - The News Minute,https://news.google.com/rss/articles/CBMitwFBVV95cUxOLTVVUS1URGhqeTRteWpid1hwWnd4YzNNbF9PamNHckFDd0tEWUN5TVVqX2h2VzhnTmxFel9tWlBfb193cEF5T1pLWFczeGlBZWFKdk15eFU0STExb2JlamtkVFo5ZmtDNEE2VklFMVhiaGlmX1FwZEY2V3YxNERBQUxPX2tkSWNwNDBmalVEMXc0dVpHbXlJQ2x2ZWhCVHM2NEZHVWtlWVZtS2NuUFpLWjFSUWUybHfSAcQBQVVfeXFMTnZjeXVfSmViWVZOOXNQcW1Pa3hPYnY5X2lBVE96a3VjYVpvX05GTjIyZW5uWEU4OHhCSER4WWx1QUtxN3lpVzdjWHhWbmhJWThpMGFUYTZGbjZNWGJWWUZXVEp5MDVvV3RENDdKZm9ZSkJvbjZ1S3NaWTBWNW16NVpBTGJJcWRCRHQ1WXpYR0Z0TXpyUTNTRWMyVUwydzhrbXRBZTNVRFRpWndIaWR5ZWd1aEV1cFQ1OVV0UTJHM0xpZ28zeQ?oc=5&hl=en-US&gl=US&ceid=US:en,The News Minute
2021-01-20 08:00:00,"‘Too big to fail’ list: SBI, ICICI Bank, HDFC Bank remain - The Indian Express",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNamhrQXhwb0hsa2F4aWtnSjFaX3JHczB5NTdqOEljUzV0MjhkUnItQm9HZDhadTJNWEJmS2ZPemdMQ1RWQnBoRHRVTVZIa21uSEJRN1BRYnFhM3UwRkIzdlBLQUZIa0I5dl9Tdlo1clpkeHRZZFdvRzk5UExpdjBOUHBkQVRmdmItVHJlTlItRzBpTzFOU1ZwOTdXOGRJdS1lRldEUWZDTUxEY2FXTUVNU2F6V1BxU1VyRDZuVTJfazRzd9IByAFBVV95cUxNZ2xRWkdvbWUySWhxVmtONllKWXQtZUdYYXZRUWd5RFJMUGdfRF9Gbzg5MkNLNDJfMG9ZemhlcTRlR21ETmVvUFNPUkxlckljaFdKVk5WU3hKbVRWeXBuSHN6b1RkcU1DeGlZaExUVTY5c3lyd1REa2dwZUtnUW1FZ1NhY25oS2JucWlXTi1FMzQ5OG5VaUc5Sy1CNk9jZzM1cjd6eFd2R1ZLblpvTC1sYXZ4Vk9qQlc2OTRzbWRFZDVtM2lvOEpLLQ?oc=5&hl=en-US&gl=US&ceid=US:en,The Indian Express
2021-01-12 08:00:00,HDFC Bank hits new high as FPIs hike stake for third straight quarter - Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOWHJwbXY1MnV2bG9URnJfWWNVSS1xWmlsSnlEZGxtQTczLWN5OU4zU2t0MnkxMzB5blAwRVk0MENfcTIwQ1A5MTRRaFJseGd2b3BVTHlEMHU5Q3dsTnlOa3lLanJwWVhyV3hMVEpaYWxKTWQwVk8yc1VNU2s4cTNtNkE4Rjl3ckNTdmhNSWtvUG1rXzJoS0MzUWItWG5VOTNNYUNuemFEeTNMbWJ1WGFwWlRQYVVxOEJzYUl4Q3MyVTlJb2tkMlY1amM4dVB0STk2YWhuNNIB2gFBVV95cUxNUFNQTXVGYWZRQWxPbnBMRVFuY1N6SWRFX1ZzSnN5bE5scWl0UGpianZBQ2d3dFZWOENOeHRrcVIwRkNoTFQ4QmM4MEE2WklqSzB1ZmVkbHlCX3FtNXFBbC1nMVlPQ0picG1OQkdiZ0hIbV90SlNfNDJJOXVSVDZRb0k2b1Z4NFhzRFNvVDBSTmFNaXh3Q00xVDd0N2kybnA3dlRvTEVicThGanVOTC1PcjlIRVpPRnpnc2Z0V1A1bTN5YTNEQlp2WWRoa0pUNzdBUXE0V1RIYUVDZw?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
