Date,Title,Link,Publisher
2021-01-18 08:00:00,What changed for the market while you were sleeping? Top 10 things to know - Moneycontrol,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNSHBJd1VlektNbGF5N3I0TGpjTTFvdW1ZWHcyX0YwWldRVDEwelpoWlhDTEltYWhSSHoyZTZ5OGhWMUc5UkNvbGh5UmFBY0VJNkNrR0xSYTNad2ZCVU1NcGVHeTFMMTZpRmV0YkxyRzIwTjh6QWpUaUVXQVlrRXRvajBvUDBEeTdFcWJpcEFCQWhkZld1VWYzMFQ2c1Jsa3dOS0t0ZHh2NFhlZWhYVlpVcWhVVzgxODU2V2JjOG5oTEhFbWNvRGtoS3FyNUEtT0RUek5nWEQzbnnSAd4BQVVfeXFMTmdBLWZzWUp0ckkwS2Q2NWEyMFliQlc0Rl9iWE9xdUpBSVdtcGtGNHNoRGRYVklJZ0NRTkJyOEJNdU02c0F6Y3Y1eWE0QWw0SXdYazI1QnktaEVQaXhtcDJUd3k0a3ZkX2xEd2ZmQjhuU2ZCZE9CTEhNa0RoLXN1N3V1ZW5yX2QzQlk0TXJmUDlNV3BCSXdiRnhzMklySUIycHAwTDhzNnNrWFFfZndxbXZpM0VvWGM3ZWowR3Y0c0ZnYjYzR3hrWEpyTGhGTW9ybDBENEdfWGRtMVBsRmh3?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-07 08:00:00,2020 was a rollercoaster year for Indian stock markets. 2021 may not be very different - Scroll.in,https://news.google.com/rss/articles/CBMiugFBVV95cUxPN0lXWUp5aXFJRHNkdXJ5elFlcVBkV0JaMm1aU2hScXN3UjRKSE1CdVBEQnZuTy1nNkRySENXNlNhU1Ywc2dvZzF5ek9idW9Qc2lZeHFpSVI0cnVjMVctakFyS1ZIeXVYbDBfbG5lTHNUTTNpUkoybDBaRFJyaUN1REdxam9YZjdVVzh3Z1NjR1MySUNJQ0k3M2FwejB6VXJLM1BDZ3RzVW5VREU0OFJXVlV5VF9sVnRsS3fSAb8BQVVfeXFMT1AxcTQ4YWNuLXEwMEtxaEU5ajJxTkZoR3AtaVR1T05tTzFoRWI2YUF2aDBieUE5YV83eVprSjlaN0xxMEpnRnJ0UjZXNUtuV2ozeWdwUkdDSlhPb0djSDJyNjM4VXg5eHRqcHBWVVc3MnA2OXNBQWRRSld6cmZJeEp0ZG9ScXJsSUFLSDh4UGdrQ0ROYkJsUnRqcEhPbUh1b0F1aXhaQzZmT1BuZmxjS3IzVnBLbVdsc0lsZVZXMlU?oc=5&hl=en-US&gl=US&ceid=US:en,Scroll.in
2021-01-28 08:00:00,"Traders' Diary: Nifty may witness weakness towards 13,800 level - The Economic Times",https://news.google.com/rss/articles/CBMimAFBVV95cUxPMEN2d1RwZzJUeXVGYWVma0JPTTItQWpUcGlycFVNUGl1b2hpajQ3ck1PWDgyRk9pU1JZX1JtMGZtZFV4dDZGTkRlT0FzWWhzQ3g4a080QXl2TlBXR1JOcnYyLU43dWpuQkNnSkt6WmdwYzVWY2ZJNEdaTFNVcWZmaElxbUt1Z2VESmotZmRrSWdxUndnbDFTetIBkgFBVV95cUxQMm5ZWkhtZXdBV2hPVk9Tbi1sYTNMQmQwRVpKTDJZY1czT3dZbnBLX0w2ZXdLOEtWd2I0ZGM1VTBDSHd4WEx1MG1yaUh2b1hCUElFZEF5U3RUNnBDamU4RWhJSVBlNlo4WVhkQk9YQmVpTkllNS1zaXozaUVKOXo4WUJRTFFyTExqR1JyOWFELVROUQ?oc=5&hl=en-US&gl=US&ceid=US:en,The Economic Times
2021-01-29 08:00:00,Today's Market: The Bulls Have to Fight Hard Going into the Budget - Indian Stock Market News - Equitymaster,https://news.google.com/rss/articles/CBMisAFBVV95cUxOU0ZKOWdBUmNrRzZ1TXFWYVZSRF9RdWpITjNjRjBobWhNcng1WGduSlZIUVF5d1FpNjZaWGZfRmozZjVvMzUwU3p1TmVPblRxaXkzVURRZExlZWFoVmN0aTlJQUlac0dnWmdZaGtOWVFqTzVJNDhEZjFzMTBsNXE0d3Uwbzg3TVRXZzVveU1DS0FGVlF0TW9UcWpoeEp2U2tkNnhKUV9sRThEWmZwVHBnUg?oc=5&hl=en-US&gl=US&ceid=US:en,Equitymaster
2021-01-25 08:00:00,"Sensex falls 531 points, Nifty ends below 14,250-mark; RIL slips over 5% - The Indian Express",https://news.google.com/rss/articles/CBMizgFBVV95cUxQOGpsaDlVZGN3bXpsd3Y0M2VneDVoU1V0WTJJSURLLUNxeVRGaExnb3gzaUZFTUhUbm5wT2s3UmdpZ3hRNzBnb1dTd1pkcm4tOWNRcEZDbkxKNHRPVmRYQy1WdFI4RUtYLW84cDFteF9TS05TMXY3X1NDZ3FmaDBvNk1tcTRvRWlBYlRUbW8zdjhuMWdCU0l4bGlyekQtUlVPYlVSY1hlWVhxMTN5ejBZdmsxRVRSQzc5akhiOEdqcGhRSnB5Y2JhQjY2LWpWUdIB1AFBVV95cUxOSEsyS1djS3Y0NVloTzdXUlJoWHNWWFY0Z082WXVUeXFfMnZWM2tyenNKcUx1UU1iUDdNQVNBcjhTN3hvejI2d2ZSMTFPS283UG51eGRyM0ZRRGJPTG5WTGk4SWJoc0pNUmc4d09abnhXTFJUbDBET1c0Y1BJYXZCVW1odDBSa3pyVk0ydGhqTTdFUG13MVg5b0tXNVpvZ3E3LWJrX3hMQ0owS19qY1dEM2pDSGdhR2FqVWNYand6TGktMjFmWDNaTG9KamRKN3lKcVVQZA?oc=5&hl=en-US&gl=US&ceid=US:en,The Indian Express
2021-01-23 08:00:00,CNBC-Awaaz anchor Hemant Ghai barred from capital markets by SEBI for fraudulent trades - The Caravan,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZjZTQzFORndqY2hQTHRLbjllekVNeGQ4QXpJSFVQWHVDeGVvRVFXMlNNMDdDQXdHTGlhb0ZNYzByMGNqVUdjUHNxLVpMQzd3NnlabUJzenVlTktWanBaTWxFSC1RSUdnN1R0RFNJNzdOOHpVWl83bHgxbTZBYXFvRnpJWWd4RkpTclFUa3hCWF9kemJuSGFSWmxaUEE3N1NyZFJTZ1F6bU1tRDZOWDRCQktncWFTWklEWTZUajdtMFA?oc=5&hl=en-US&gl=US&ceid=US:en,The Caravan
2021-01-21 08:00:00,"Sensex gives up 50K, ends 167 pts down; Nifty at 14,590; PSBs, metals hit - Business Standard",https://news.google.com/rss/articles/CBMi2gFBVV95cUxOVkJ4SmhtVWRxWVFKcUZfd1VtWnlwWlZiLUx4SFZNYmR4WTEzWHQ1M1lvSE45S09NNXZabFhMekowTnpudnBhcjh5N1NnbWlFMy14a0FlYmhhT1FmY2s4NDZJRTlON0F5MllBUHJ3dUZQZngtSkl4MjhjSVNEOE5Mbm9aU2ZJb2U2RXQ5LVduS2dFSWhZeEVFSmlFNHRxMndCNUZ6NF9WVi15U3Jaa1FVZlJBUmppbVVWeU1yZ25fRkoteVNYMUFMQ1lBZTdIc25PVml3aDZXWmtTd9IB3wFBVV95cUxQSUVGeE1BeENsLWpta2gydnlOYVZ0U0VmOW8zMzV6OXFTRGpPTXNNU2tnZHFjRHhlVWdYUHBmeEJrR0Q4Y1lNR2xrWC1JN3kwZmEzWGNVWVdWSWpUWlVwNVFiRUZ3QmV2Rm1BV1VEREstNl82NVJibTNCRUpLUVJCUURfb212eGQ0aER4Rl9BQUVkTTRsVjV0Vk5jcnNjS2ptdGM0d3Z5STk5WlU2OHhPaVg2UW9DRWp2bkdfZ1Q3ejloWU5TcE9Iel9QVzFDdzE0NGpzemFwcVB4ekdtLWw4?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
2021-01-04 08:00:00,India’s market cap swells to $2.5 trillion - livemint.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPTU5EQ2xvNEhmX0w4UkRic2k0LW95WXlnVHY4SFJjcHZuZmhKZXBUdjNrbG1jakYwVDkyTjVhMGVjVW5rREZzSl9ZVGFMdVdpbmZiczZkdE9GZGQ5N2JrajNPbEVjZmNwUkZwb2FlN3doMHI0eDlaS1NPNFVUZlQyemVQbFIwQUZWR0JpbldKTzVvNmdaY2lmNTVYbUFVZU1ic1YyWXkzbTh4dGVWb2840gG0AUFVX3lxTE1HM0EzOXhmUEF1OXY5aDB4eGlXeEw1M29HR1I2VHNRNHVnRXpBenk1bE5OVnlyUnVKUVM4UFRIWUowV3k5cnVKd0lwQ2lDMlhKLWdVVVlyWGExcVJhN3BObFdTZ2pMd2ZPc1FsUTRNUHA1RklveUZKVHlmb3VjTC1LN3h0TjVYX3dYaTMwLTJLUzFHczgxbThlcThoLVpjTlNFZm9sRGxrN3d1QXlyYlk2dTZRRw?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-02-01 08:00:00,"Share Market Highlights: Investors give thumbs up to Budget, Sensex ends 2,314 points higher; Nifty at 14,281 - Business Today",https://news.google.com/rss/articles/CBMigwJBVV95cUxOWnJsT2ZUSEFzMTF2SUU3MzlCaG05bzgxTnJRRjcxd1p3MmdVUWZmTzF3NkVXRVlMVVFKbW1DNDJicmtkaWEzcjNCRWhrakJYUUhXaVQ1bWZwX0V2eUlqdmNQX0IyRUNIeW81Y0htRHhoRmpPd3I1SEVYMWFVMVY3cmhZdnJRd2dxYm5Tb0FDcHRxYm1VTUZ1TVQ5V2QwdG9NZ2VBZzA1M2dGZm9QZWp1WWUwTzNONjFELVdRTTFaWmNjaDgyTU44MkNDTlNjUmlXTDZyOXhKVTVmVG9sdDBvNnd3QkZ3UnRMdWgwMkt5Q3hUQjJhQktCVEZUTXZtRFNwenA00gGIAkFVX3lxTE9hQmo2NjJIOFdaRThYWVlzaHFTMnh3T2tKemRHTEJLbzZqSE5ZZnNFVjJLUmtYT3Z6c18xZU5jMEM2Q3J6bVJQSHM5NTNXNjFmZC0wd29uTW5WUTZ0S0dfZTBqNzIwWXJPaUFKMUZxY2c2MmRLa2cySUJxenJ1UV9vRDB5NTBjcDBBTi13V21ySDY5bmZMeURNeVpvOGFFYlFfNVg2Ujk4eFdCUXlkNTQyTndCb3NkaUpIUUtxN2tGVHN2ZnRKTHVLbFY2bGNYWUdYaWpKRDVob3hUWEJhR0lsUUEzandtUDFWck1pN2licGx3NzBYX1U3bUtvLTFqVFUwUlBOM0JCbw?oc=5&hl=en-US&gl=US&ceid=US:en,Business Today
2021-01-28 08:00:00,C-Company to The Market Mafia: The story of the Deep State of India’s financial markets - PGurus,https://news.google.com/rss/articles/CBMirgFBVV95cUxOdXJhbkRFTFgzM3EtZlRRejRoOEx6MzdtRFRjaFl1WFpwQ2JjQXdKTVE1RWtSZXdLZ2VQNk81dHhTR0JoS0Vid2tlOXBIbm9WckZBaTFnLUxrdE5zQ0hkWW1oNkZ5REt2VC1lemtqVzlGN3F6ZTBna0NZZ0VkM3pOTFNJSEJ0V1RKX0g2VUlDVVV6VjZtbTY3TE5vTU5xbk9iLW83Q29FM2dhN0pOWFE?oc=5&hl=en-US&gl=US&ceid=US:en,PGurus
