Date,Title,Link,Publisher
2021-01-14 08:00:00,DSP Equal Nifty 50 Fund review: Should you invest? - Moneycontrol,https://news.google.com/rss/articles/CBMivgFBVV95cUxPMXFjZFFZSzU2cklkTE5wMzd2Z3I5VHN0N2VtQ0xJN1NTeVNYUnJlZE1DdGlGeFdvXzU2d3hYRHQ1aEpGU0RWYXVyTzV3NS14QnZJdXZkeUV2TWR2YUNJVXNmdFdRaXpYMkVVT2dlRHNzQjBwY3BuZEdvWDhOOTRucHdtY2VaV3FZbDNpektWTjQ0cHRmUFE3clJzZmpkUVhDTkx2Z0dTTWhwd0RYWXAyY0xUOHQ0NEt1a1locThR0gHDAUFVX3lxTFB1NlpXMjc4YXpvZEhtajczamo3dmQwLXRFV05jVHVoaDR6MFlmRFNRdEd0N0V0c19LR2dpZTBfcmxCQ1NvXzRKVmMwZG9BN2NHZVlGLXh2Tk1RSXZnejRqZ2xZajJWVFVkdDRxaHNfV3JiRHBEbkxPd3NxY1RZYnBmOTBHRlQyRnZHWDh5VWVfMy1lQU41a3VYeFR6bnpvUjEzNlY0ZHU1Tm1LT3JBZmgyN2xQS1lIdFlWM0JlY3lxVUNxTQ?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-02-01 08:00:00,"Budget 2021: Best Budget-Day Gains For Sensex, Nifty In 24 Years - NDTV Profit",https://news.google.com/rss/articles/CBMijgFBVV95cUxPaDBoTzRoMHFkdWp4RHBFczRleUFMNFBxYVJhRlJTU1JLVGpwaHBKWjZ4ZWVXY0N1TDh6cnRJcWQ5TTJlWVFaM2NIMkt1d3ZBQ1hjRDlGX3hxZ1lCWkR3XzFHV052eFRDUm1RM2FvY3pYZFl2REZQbFBuVFVYMXZGTk5kVjVhajBDOVJxYXpR0gGTAUFVX3lxTFBaWlY5LThTdGYwSHlTd3VZODVNR2otMmM3NFk1TlNJb3lGVzM5RWVWZTA1SGFKakhTS0R1ckFDdnFsWHlwM0FOS1FQdkVoQTVRVHBaRVg5SDR0dmpZQVU2TGJWdmR0cUpMNlgwUUtzNUtLa2pOM2xDVHhJNk9tNHBuT1RQT2JLYU1pbmNJdTlhYkNCQQ?oc=5&hl=en-US&gl=US&ceid=US:en,NDTV Profit
2021-01-01 08:00:00,"Sensex, Nifty end at record high on first day of 2021; PSU banks shine - livemint.com",https://news.google.com/rss/articles/CBMiygFBVV95cUxOOERxSUo5WUxQbnZwZzFmMDM0aFN3NnpMQlVOQ1lRblFTS1FmRkw0WXNfbklaZ0RHM05zbEVpWEJZSV91QWd1RHBkWXR6QmJtemxzWW91TGpSNHdiVEFmemxLd1hKaXdsYzNNRzQ4MnJoQXhKam5neTZmQ0toMmpieWhaMG1UMjBJaUM4NGdfTDRhRlZWbzVSUnRwWTJyMzlVdXNqUnl4aTI5STAwaXJsZmctU3lxQUZkYU0zdkp1VS1DN0pTckluQXNR0gHPAUFVX3lxTE1zQWJNbjZWaE5nalZzY1hqdUVzc0tnTm5raU04dUZnc09tbXlBTDU3OGsycWpYc214U2JEREs2R1V6REE1dEJxMkFhWV9CNkVTR25pOFdydjVnQWFYQWFxbkhmekZadkxZOUpTQm1xa3hLV3hUOElYT2NublJPZDZ3aXdyY3ZLSXZhbC1oRUlkcHk5cjVfelYtZWVJQi1pcTFXZVcweTVuOGJ2QWpydGtDOUY1Y3NuWmxIUk9IaWtWNzZMTkxreU5OZEtpRXZ3SQ?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-01-27 08:00:00,Market recap for 27 January 2021 - Upstox,https://news.google.com/rss/articles/CBMickFVX3lxTE8tZEkzcWRQeU5lRUU2elkwVHpfRmplSXpPMmxWWVpWWHhSYWxaVFprLW5Jcy14ZWNYWEhDNGc2dW00dk4wZC0tcU9aazVuTFItWkdHWVFreTZaM3pCb1IzbnVVU3JIWUd2c0lPX2hRbVZLQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Upstox
2021-01-28 08:00:00,Nippon India Nifty 50 Value 20 Index Fund NFO – 19% annualized returns since inception – Should you invest? - Myinvestmentideas,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPczNFbU5ZTWMyb2I0S0hNYXRBbzA5TU5WUllnYmVDd2p6blNFRWxHMXFwNE5hTlZzR0dSblg4T0dKWUFSMEJjSFZFQkdvNkI1RDFrR0tfQkxXR2U3c1M4MjlwSG5aYnZFWDkzbE9FRUFjZzJiS3Nkc3B2c3llZkJsQkJ0US1vWVBOWE9z?oc=5&hl=en-US&gl=US&ceid=US:en,Myinvestmentideas
2021-01-11 08:00:00,"Sensex and Nifty surge 1% to settle at new closing highs led by IT, auto stocks - The Indian Express",https://news.google.com/rss/articles/CBMi6gFBVV95cUxQdDJwb05renZtYnZVeGtXTWphSURidmpUU0FVOU5XZTM1WmdQbkE3blpxNnh6aUpoSWRScEhUUUpnNGVHbnVWTzl2NUx0bDRTZ3FVZDZRcGhpd1ZlRlpWZ0E1cUpCTngwUkJHM2dmbEhnam83OUNwT3NYZjVPOGdjb3FCY0QwV3VNZVVPTUtrZ1A0QV9hNklWNHFIZFljQW5xNjYzMGRpc1k2dU9QQmQxcU9UeUlIVFQ4S1o0T01RTTVneFpCT18xcWJaRG44X1ktRlpSVV83ajdtcmMzeGxTeVhNY0ZVajRqUlHSAfABQVVfeXFMTk1VQl9CeVo2N0hpQXg5QTZSVlhpSWxqeVpXcnJYUXFOVEktVEdfMnVJTVRwRnp1NjdmbnFGYlRPV1Qwam5PYjlNT3AyR29iWXNWdnNjN0FzU0hkSnRSUDlpQjdsdWhLUDV6bWUtWU5KMXNzMV8zbG9ldE1DMEFZOFpKNDhvRlRYN1J0anZqMmZkc2EtZzZxU19aNmVobmZlbTJmandFS3FFWHBhVFFxbUpQVnQya01TLTRwek9MUno4bXVOYjNKWm5qY1JUNWVpMFdfVGw4OU5wY0tOZWc2WXlfSEVlRUlsb3R6dkxmNUJx?oc=5&hl=en-US&gl=US&ceid=US:en,The Indian Express
2021-01-21 08:00:00,"Sensex gives up 50K, ends 167 pts down; Nifty at 14,590; PSBs, metals hit - Business Standard",https://news.google.com/rss/articles/CBMi2gFBVV95cUxOVkJ4SmhtVWRxWVFKcUZfd1VtWnlwWlZiLUx4SFZNYmR4WTEzWHQ1M1lvSE45S09NNXZabFhMekowTnpudnBhcjh5N1NnbWlFMy14a0FlYmhhT1FmY2s4NDZJRTlON0F5MllBUHJ3dUZQZngtSkl4MjhjSVNEOE5Mbm9aU2ZJb2U2RXQ5LVduS2dFSWhZeEVFSmlFNHRxMndCNUZ6NF9WVi15U3Jaa1FVZlJBUmppbVVWeU1yZ25fRkoteVNYMUFMQ1lBZTdIc25PVml3aDZXWmtTd9IB3wFBVV95cUxQSUVGeE1BeENsLWpta2gydnlOYVZ0U0VmOW8zMzV6OXFTRGpPTXNNU2tnZHFjRHhlVWdYUHBmeEJrR0Q4Y1lNR2xrWC1JN3kwZmEzWGNVWVdWSWpUWlVwNVFiRUZ3QmV2Rm1BV1VEREstNl82NVJibTNCRUpLUVJCUURfb212eGQ0aER4Rl9BQUVkTTRsVjV0Vk5jcnNjS2ptdGM0d3Z5STk5WlU2OHhPaVg2UW9DRWp2bkdfZ1Q3ejloWU5TcE9Iel9QVzFDdzE0NGpzemFwcVB4ekdtLWw4?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
2021-01-07 08:00:00,D-St on a high! 48 out of 50 Nifty stocks above 50 & 200 DMA; time to book profits? - Moneycontrol,https://news.google.com/rss/articles/CBMizwFBVV95cUxQOHVHUVg2V3kyNEIzX2J3T0ZnaWRXYy1Oeld0cWRlbWRoRUhHc1hacGtJQWxpVlZmSVh2WXFfYWZObHFhalY1cm1WdUUxbE1hbWlweC1mRlpqc0hWVnd0MmdvZ29EX29oNnZhalUzQ0xZM3k2bW5welItTV9uVGc1UC1lVjZzYUFfRDM3ekN0ZE1YdHBnVjhreTVwb0NSdjB1SDd6WTUwTTIyWUhLVndQVkN2eFNudkVUT3FDN21uZnkyeDlCSE51anAxTGozUjjSAdQBQVVfeXFMUDZhdW5NNGdvaWxBLURlcGlDSXNKV3JCd3ZqT20xUW1QOGI1OXg2RW1uTFljTlF2elJzRUNSXzlsNmlPTF9qM0ZlU2trXzdjRTNiVHRaZ0ctOXg2SjJxQjJ6WTVtSHhvOEp1Umxva2hFYmJOa0E5UTRTMC1ZdGgzeWVWQ0M5ODZHMEVIV1dGdnVyc1paOG5BMXpuQWZYMGYyMGw5anh1Szl4WTFocXlON2NyTlA2YTRjUEdVSkJ3Zk16WTV2TDNTWFAzUkhWem1nd1RSMWE?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-02-01 08:00:00,"Share Market Highlights: Investors give thumbs up to Budget, Sensex ends 2,314 points higher; Nifty at 14,281 - Business Today",https://news.google.com/rss/articles/CBMigwJBVV95cUxOWnJsT2ZUSEFzMTF2SUU3MzlCaG05bzgxTnJRRjcxd1p3MmdVUWZmTzF3NkVXRVlMVVFKbW1DNDJicmtkaWEzcjNCRWhrakJYUUhXaVQ1bWZwX0V2eUlqdmNQX0IyRUNIeW81Y0htRHhoRmpPd3I1SEVYMWFVMVY3cmhZdnJRd2dxYm5Tb0FDcHRxYm1VTUZ1TVQ5V2QwdG9NZ2VBZzA1M2dGZm9QZWp1WWUwTzNONjFELVdRTTFaWmNjaDgyTU44MkNDTlNjUmlXTDZyOXhKVTVmVG9sdDBvNnd3QkZ3UnRMdWgwMkt5Q3hUQjJhQktCVEZUTXZtRFNwenA00gGIAkFVX3lxTE9hQmo2NjJIOFdaRThYWVlzaHFTMnh3T2tKemRHTEJLbzZqSE5ZZnNFVjJLUmtYT3Z6c18xZU5jMEM2Q3J6bVJQSHM5NTNXNjFmZC0wd29uTW5WUTZ0S0dfZTBqNzIwWXJPaUFKMUZxY2c2MmRLa2cySUJxenJ1UV9vRDB5NTBjcDBBTi13V21ySDY5bmZMeURNeVpvOGFFYlFfNVg2Ujk4eFdCUXlkNTQyTndCb3NkaUpIUUtxN2tGVHN2ZnRKTHVLbFY2bGNYWUdYaWpKRDVob3hUWEJhR0lsUUEzandtUDFWck1pN2licGx3NzBYX1U3bUtvLTFqVFUwUlBOM0JCbw?oc=5&hl=en-US&gl=US&ceid=US:en,Business Today
2021-01-21 08:00:00,India's major indices of stock exchanges corrected after registering new all-time high - The Hans India,https://news.google.com/rss/articles/CBMiygFBVV95cUxOa19HQ01EUVlRU1hwMFY2OFJFV1JPZ1duYi1zUnFDWm1WQjNGczB2Nk9VYXU1dm1PY2w1TjE3VVZTRTBNVzM4TndoRkg5cnBnTEpUcWZ0T0FKWWFSTmE2Q2JNRUpacHQ3VmFjMXB0cmlCVTZNUUwxTi1JVkdJSjBoRGFzUUlGNmUyUlRwdTEyWlFCYTBYUzhyUDZXdURmQnpleDJMQkMwREdxd3ZqX0EwUmktNF8xUEYtU3JUeFlrSm1SR3V0OFh0a19n0gHPAUFVX3lxTFAyTEIyeTZFU2R2WkJoem50Z1lmTUdxcUtkYmJJYUgyNEVuaXpXbWFTRE5kLVMtZk1qUUlhWmxKNFliTUVGSTNvVXNJMzRic2hsOTZRMjg5azlyMzNOSnRDSUtJcER5NHFrZVhoZXpqZC1ZRFFIelhGVDlQUm1Qd3gycExZbWh2TmF6V3hac2FWbkRIRUxnZ1lZOXRwc1NMekRrLXIzaFB4U3N2X0NCX3dFYjNtOFlkR1FuWXNMZ19fWUJXY0wxWFlkZmlHUFBwYw?oc=5&hl=en-US&gl=US&ceid=US:en,The Hans India
