Date,Title,Link,Publisher
2026-01-08 12:32:05,Why Indias Overreliance on Russian S-400 Missile Defence Systems is a Strategic Gamble - TheWire.in,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPQW9tbDFPeW1rZktRaERMUHlNWmRQNDNPQmR5YXc4MG9ETVYyWmF6ZlBoYzc5dDVRY1lMa3pCLTVqV08zNTVjcXVBZnNSNTBmcExJQlI0R08tVkk1cy1uZndNNVFQTUJ0VUhzcHJRN0FPNW5zOFlJMWFhZ0ROYUN3SXV4dzlsM1pJYWc4QVNoTkFSb05MUm4tOEFzb3EtMmh0SHRLSjExZmROMkp5Qzg0ZXMxS205R0h6M01aTGlZNW5WZ9IByAFBVV95cUxNb3B1d2ppaHNvUTlFZ29vSnBvRzFwaVZ3TjhFSThYUUZNMDJVYVBmb2lBR2lKYUlLZW44XzNqbjdiRFM5MUxpTU5xOXEwR0IzeFZudVVRRGhTY1dJU3V2R3RyVHdqRXFYbk5meVZkdnFOTjVSaVJmU2s1aXRJNEFtbkxILXRDRURGbjRZUkdPRTdfU3pRWkVoemNwdURKSE80anlJcDB0bGU4OF9LcHNoUWVTZkhvS3JzcWgzampQcUxCM2dBTWFzSw?oc=5&hl=en-US&gl=US&ceid=US:en,TheWire.in
2026-01-10 19:00:00,Parents on RFK Jr.’s advice on sweets: ‘Completely unrealistic’ - Politico,https://news.google.com/rss/articles/CBMikAFBVV95cUxNdzZhclAzeDJEQnYyUVJJUkFpcEJ6NTNoU3Q5Q3l2N0JnRDliM3lQcEkwNVliX202d01ZOHg5SXNMOEQ3R1NlbGhNeGdfSVU1R3pmRmNoVnl3VVhJZF9pYlRDNXZ1dEk3SGR2SklBcFNFOEFqVVdSOWI0UWJubTlRWEo0OHhMZkl6VkRpQTJOTWE?oc=5&hl=en-US&gl=US&ceid=US:en,Politico
2026-01-10 09:14:12,Mahindra Vision.S spotted testing again; Inches closer to 2027 launch | Hindustan Times - Hindustan Times,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMXd2d3NOZFBoaVZjNUlWaTJrVzhzVEZqQU5IS0FVU3A1MmpwSjdxRjQybWdUVVpRdDhSMEJXdlZRYk5MeUZTRkpDdF82ak9wb2JPOHI3bUJZYmtNZjZ5NV9JdWF4c2RZRGp2RDFQOWdLYjVueVd3aHF5R0NVNnVrWWE5U3ktUWdXM0VUY0J0WFZiMEptQXRIZXR6QUpzTGFGMVBLbzdkakJETFh3cXNmZzFlbmp6Z096Si1FeVVnMmhCQU9fbmVmUdIBzgFBVV95cUxPcnBBdjFXNGRLUFBtZmFyRG5OY251bnZERWU5MzNtbkJhMlRHQl9EaWRoUHphUk9ldDBydUVzNEx6LXFUb2pYdllWempYXzBkOTNvX1VUaGlnYmRJNmgxbE10ZWxTYXZRYlk3RHdzSHVjQmNXOGJEY0VUczNzaDZXRlZFNWJLbi1kVndYUGxIZWNJcTNYWklXd3BRNXY2bnA5cFhjaXNOZW1nWFkxOHhpX0tfR0R6NXVoUzR1TXR5VGlTTDdkVmp4V1ZiS0U1UQ?oc=5&hl=en-US&gl=US&ceid=US:en,Hindustan Times
2026-01-09 23:55:24,‘JD(S)-BJP will win 150 seats’: Nikhil Kumaraswamy - Deccan Herald,https://news.google.com/rss/articles/CBMinwFBVV95cUxQODJTemxSMHE3LWdNLXZkclpMS3RGVng2WWRFMWtudl9lTTJGWmIzRFFmajJRT1dreXFJRzBNbVNFS0VtZ2JiX1FNSWNjTzY2bDNnN24zNzZaQTJrUHRLVmZFaDBHWDZLb0JpZ0xUNVZ0S3BSWjRxay1TaC1DemQzN3NJWExvaU03cFNXclR2WXJNdjdMb2QyUjBvczFPRFk?oc=5&hl=en-US&gl=US&ceid=US:en,Deccan Herald
2026-01-09 15:33:00,"Russia Joins Chinese, Iranian Warships for Drills Off S. Africa - The Moscow Times",https://news.google.com/rss/articles/CBMirwFBVV95cUxNU2FCQUMxYUtvMXRfYXVrXzM4U1JWVXhnbmN4OGxuU1VLUVNJNW9rN1g5UHBTTVdiemtFQkpmcDhpZjNoNmxPOGdYYUsyZ2o5dDY3QkozY1U0SFdqa1BYTWxVT1c4bDB1M0xpcFZkd0JpWHdEYjRpVUsxYWhXQTJ1bmlYa2M4dlVQakpWU1lTRW42V2tlRW5jZlZrM2Ezb3NCWWlZOGZuUDkwb2xBcnlv?oc=5&hl=en-US&gl=US&ceid=US:en,The Moscow Times
2026-01-11 00:43:00,"BJP and JD(S) accuse Congress of misleading people on VB-G RAM G scheme, welcome special session - The Hindu",https://news.google.com/rss/articles/CBMi9AFBVV95cUxNT3VwU0FBN1ZLWDAyTWdxRUFWNjJFMUdEbkJGU1g1YnotVUJqVTVPSDhsZ0sxTElMX3NHMVAyQjc4Z3lWRnJQczFWS3l2V21ncXByTDl6eDFpbXVhcU1ia2VaQ0VlR0VRWDc3UlFXZGlaTkR6Y3FsMGM0QVZLendiazNFbnRqSHFjVGtZUUZJakdJb1JLbjdUeFpBX3h1U2ZhaWViSXY5WW9GcmIwM0I5TDc1WUl2OWxtNHpkR2RpUGtPNkRQWEpzWHdTeUpRaVZKaGRjeUV0MkJuTmpuMlhQamtjWmdPVkw1T3NmUlgzc1kzdWk50gH7AUFVX3lxTE5HM3NLQjFUU0JfMUE0YTRiay1XdkV1NVROUllyNEFhb0ttWm12TmM3WVlTU2E2VG81bFZwV1ptY1lLR2RjTXlWeUpDMTdWQmllSk5lR0tsVEFDX1g5bkI1ZkVzMHNrTzdwck56Y0NsUGQ4X0pjZGtJa2Y0MXZMbGpZSWxiaVN2OTVUWTJ4WFExckY0YnZVb3RROVVnR0pwY3pPTkY1OGRlRmdnSEZQQngzc3RLNmFFNkNmcnV6Ni1qR3NIMFBfT29pT2MwSGJPemFYNzU0eExUMTNJdl9rRmc4RTQ3YkxVbmkyREVsdnFXVkQ2VEZjUTluak1v?oc=5&hl=en-US&gl=US&ceid=US:en,The Hindu
2026-01-10 02:30:11,"Manu S. Pillai: How purdah shaped women, power and politics in India - livemint.com",https://news.google.com/rss/articles/CBMipgFBVV95cUxQb3VGalY4STdUdlNTdWRMSkIyWVJBLTA2WUNPZ280NG1mMGtqUHE1SXpzSi1aU1ZPVUFnUkNDSnVvdmhOS2lNSmZQYjJmUmt5di01VGJTVEplTG1uU1RQcE5FQm1fYkNzdmdxSDVoREFkM2dFOU5UblFpWnZPd3BFZVJiNWxYMXlxVWJvNGtDOEhqSl9DVkNiSXNJRG9JS2MyLVFQdElB0gGrAUFVX3lxTE9sQ3dDZmptWDIyNDVvUnhST3p5eW9ZbVFKQi1VRkhCU0JmeE1TYll5dWpkMDhCOG1oZzZsZWxzMVZ4RHNSZFlRZDQyTG1JVHMtYnZXYkY1TmhlZEcyWWlmTnFYOHJKRjg2VWVGNVp6VVlTQjNSLUpyWUd4bVFZdmtnc3oteDVXYy1WdFB4RWFTSmFKWHpubDBDcEU3UHJQM3NuZjJPcUV6WlNFSQ?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2026-01-10 08:18:02,Former CPM MLA S Rajendran likely to join BJP; holds talks with Rajeev Chandrasekhar - Onmanorama,https://news.google.com/rss/articles/CBMixgFBVV95cUxPWlhhM24tY2pidVdmYktvNHF2R3NYU01KNVdtNUljZnBDV2JZRjZydXJ2d1VOWTMzNU5ubVlHN3NreGo5bjZ6d2luQU5JcjFUZXE2dGZ0cm11RUtlSFBPSGRXYTFWeG1kcTd3bnFXdzl1c2VBTXhMcjlkY2k1ZEpROWxPR01lVjFIdHlub0I4UlZ1bWdiQnRuWWVDR2hsT2VXeUJJMW5xbGRGSTZ2dGJNTHFWNmxJWlVnZS1oYWhSRVlBbFZqaEE?oc=5&hl=en-US&gl=US&ceid=US:en,Onmanorama
2026-01-11 07:15:56,"BJP, JD(S) welcome special session on VB-G RAM G - The Hans India",https://news.google.com/rss/articles/CBMilwFBVV95cUxOODNyamJHYTBiLTFVY0JESldGZlQtc1pZbWhURTJjMVR1b0h6c05QOWNUcjIwMVFKcUs2a0ZMUjBfS1VuNW4zbHF3cF9jY3hROGRDb0FoaDlPWjNGLVhJa2ZnUTBKZ1BYbzZNTERUNktFUXg0b1JtZ3FySm9vM2FOQWEyYXcwMG5NR0dQd2ZtcERQQVdhZmQ40gGcAUFVX3lxTE95MmM5eWNNTktkbWUyaTBRUlFEQ3RQZVhMLVhCRFRxeHRIY0JKSkVVNzJ3djVWTHpnc0lHMklpOXZTQmVQWWdiTlNyaTlZUjk2b05fNExpRGE2cDR4dEo2Rm5iYl9FT3FHdm41LThYUFhfRnpOaUZ2dUo0aUdaSGJaNEZSWE5TUGZ5Q2NBOGkteXF3bEhidnV0R1NmNg?oc=5&hl=en-US&gl=US&ceid=US:en,The Hans India
2026-01-10 14:41:00,Former CPM legislator S Rajendran to join BJP - The Statesman,https://news.google.com/rss/articles/CBMinAFBVV95cUxNa0hwcTRPTEFpMWJzWFEyT2RGelBxOFlsV0JJLUxiaEFtYjdUOW15c1BYMURMenpzNkhSOWF2UHd0UUlBd3VOQjdwcWtVV1FoUHhIbEJQckFiWVJSa1V5ZkVkZEdHSEYwRkJVVUpGaVpuek0yNU05MjhMS1dsQXZncEE2ZU1mUnJseWw1MXZmSE1palVxdU9GenFOWknSAaIBQVVfeXFMT0tUVVA3WkctcUhTVDh6XzlyclFzYjNpbUgyZl80Z0NQb3F0NVFzR0J3OXlQTHdsb0ViUHRJTUgzYnJhRlZaeWZoR3VRamMtT1NnY1lVRWRkUk8zaGVfdTdudDRuaGU3VDVTbG1ueGItbUpWY1g5ZTdXRWRxZXpoeVVWcWVxN1haRUhXclE2TWJUUWlVWWZPRHE4UEFuUEtyZUx3?oc=5&hl=en-US&gl=US&ceid=US:en,The Statesman
