Date,Title,Description,Link,Publisher
2021-01-07 08:00:00,D-St on a high! 48 out of 50 Nifty stocks above 50 & 200 DMA; time to book profits? - Moneycontrol,D-St on a high! 48 out of 50 Nifty stocks above 50 & 200 DMA; time to book profits?  Moneycontrol,https://news.google.com/rss/articles/CBMizwFBVV95cUxQOHVHUVg2V3kyNEIzX2J3T0ZnaWRXYy1Oeld0cWRlbWRoRUhHc1hacGtJQWxpVlZmSVh2WXFfYWZObHFhalY1cm1WdUUxbE1hbWlweC1mRlpqc0hWVnd0MmdvZ29EX29oNnZhalUzQ0xZM3k2bW5welItTV9uVGc1UC1lVjZzYUFfRDM3ekN0ZE1YdHBnVjhreTVwb0NSdjB1SDd6WTUwTTIyWUhLVndQVkN2eFNudkVUT3FDN21uZnkyeDlCSE51anAxTGozUjjSAdQBQVVfeXFMUDZhdW5NNGdvaWxBLURlcGlDSXNKV3JCd3ZqT20xUW1QOGI1OXg2RW1uTFljTlF2elJzRUNSXzlsNmlPTF9qM0ZlU2trXzdjRTNiVHRaZ0ctOXg2SjJxQjJ6WTVtSHhvOEp1Umxva2hFYmJOa0E5UTRTMC1ZdGgzeWVWQ0M5ODZHMEVIV1dGdnVyc1paOG5BMXpuQWZYMGYyMGw5anh1Szl4WTFocXlON2NyTlA2YTRjUEdVSkJ3Zk16WTV2TDNTWFAzUkhWem1nd1RSMWE?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-01 08:00:00,"Sensex, Nifty end at record high on first day of 2021; PSU banks shine - livemint.com","Sensex, Nifty end at record high on first day of 2021; PSU banks shine  livemint.com",https://news.google.com/rss/articles/CBMiygFBVV95cUxOOERxSUo5WUxQbnZwZzFmMDM0aFN3NnpMQlVOQ1lRblFTS1FmRkw0WXNfbklaZ0RHM05zbEVpWEJZSV91QWd1RHBkWXR6QmJtemxzWW91TGpSNHdiVEFmemxLd1hKaXdsYzNNRzQ4MnJoQXhKam5neTZmQ0toMmpieWhaMG1UMjBJaUM4NGdfTDRhRlZWbzVSUnRwWTJyMzlVdXNqUnl4aTI5STAwaXJsZmctU3lxQUZkYU0zdkp1VS1DN0pTckluQXNR0gHPAUFVX3lxTE1zQWJNbjZWaE5nalZzY1hqdUVzc0tnTm5raU04dUZnc09tbXlBTDU3OGsycWpYc214U2JEREs2R1V6REE1dEJxMkFhWV9CNkVTR25pOFdydjVnQWFYQWFxbkhmekZadkxZOUpTQm1xa3hLV3hUOElYT2NublJPZDZ3aXdyY3ZLSXZhbC1oRUlkcHk5cjVfelYtZWVJQi1pcTFXZVcweTVuOGJ2QWpydGtDOUY1Y3NuWmxIUk9IaWtWNzZMTkxreU5OZEtpRXZ3SQ?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-01-01 08:00:00,Market recap for 1 January 2021 - Upstox,Market recap for 1 January 2021  Upstox,https://news.google.com/rss/articles/CBMicEFVX3lxTFBvWXpVa0d3WmotLTYxU1diZlBGeUZ5bjcwR3AzQ2tuTkFEUEpSdDh0Q09OU3g5RXJWZnQ5aWVYTmRXLWJNeVRQV05EWkN4VEJWbEdUM3lUN1RCMTlZczdSSDFiTGg1UGtLdG5WQ29sSzU?oc=5&hl=en-US&gl=US&ceid=US:en,Upstox
2021-01-06 08:00:00,Short term view in NIFTY50 for INTRADAY - Moneymunch,Short term view in NIFTY50 for INTRADAY  Moneymunch,https://news.google.com/rss/articles/CBMicEFVX3lxTE05YWxzV0ExemZEcXVsTjFZTkRfaXNTdldMelBzQy1hUXZlVWRMSE1UM3JHdDY4dE9KNjl5TEJ6azJpSzN5UXJlT1JZNzFkbS10WUpoWFB4NUxSRVltME1yM3hDRzVrVHlMWHQ5QnRtYmM?oc=5&hl=en-US&gl=US&ceid=US:en,Moneymunch
2021-01-08 08:00:00,"Sensex ends at fresh closing peak of 48,782, up 689 pts; Nifty at 14,347 - Business Standard","Sensex ends at fresh closing peak of 48,782, up 689 pts; Nifty at 14,347  Business Standard",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQd29qWHFTS05uWEVDYzN3dzdITHdaVEpUNjVSanZHckR6R29hd0JRelB5T043bmU4RzhVaUtPbFZCaVdGeVRydDdNS3ZMYXF5T3FENk5nakZZWUhWbmRKTEtzVVVOVE85czduUUs0bkl5bXpZU2lVLUF4QkFJZXhqbHJlZmJxTGZ5VXdMSDdqT3RDU096Sk1hNi1Objg0ZGM1aFFTemdfSXhYZnI2QkdRUlh6V0Q2TFdvcVhndDYxeWpNdFhlZlc0SjBFVU40NjRPcVE4d3FtMHYtUdIB3wFBVV95cUxPRjlVWFpjRWFuZUtqNjZaLXYxVUdYV3FRR3hMYXdnSkM1RmhNTklaQWhKcGFvZlNVanBLcS1oZERRNzJvNDJfM01tdUhNbndOQ0NubmxORWJVOWZGRWxjQ1lrT0g4S0NwU0lNakljNW42ZW9WZ3BiR05aSzNBZEwyZmUwNFRDQnBncnREWVFSMERqZ0NTSW5mTHdWNEM3YVFNdUl0eHVzTzFRVDF3TkhERmo3enZ2MF9Hd1RadGhIbkd0OUZEWlpJU1ZWV056b19LMzlhMmUxblE0LW9PbUs0?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
2021-01-04 08:00:00,Canon Nifty Fifty Battle: EF 50mm f/1.8 STM vs RF 50mm f/1.8 STM - PetaPixel,Canon Nifty Fifty Battle: EF 50mm f/1.8 STM vs RF 50mm f/1.8 STM  PetaPixel,https://news.google.com/rss/articles/CBMingFBVV95cUxPSEk4bThURl9uVENFSjQ2OTBjNVJId1VlMGY3ekYwVllpVkdnVmIyUGJ2YjNnejhfWjhhdUdzdGdrNnc5ZWJQaG81TFlPQmxUSWV3S3Z5YnJIdXFHOThzYTRQQVhzMXh6Vkk1c0tGanpPNy1jZ0JRajNvY1k2dWVMMVpEU2w3bEJsYklhclFoOHpiVlVteUFaQldxVHJTZw?oc=5&hl=en-US&gl=US&ceid=US:en,PetaPixel
2021-01-05 08:00:00,"Closing Bell: Nifty ends at 14,200, Sensex gains 261 pts led by IT, financials - Moneycontrol","Closing Bell: Nifty ends at 14,200, Sensex gains 261 pts led by IT, financials  Moneycontrol",https://news.google.com/rss/articles/CBMirAJBVV95cUxPeC1YV09lNFZqd1ZxaTNBbXNEZUF6WDBLQmU5djlDTHpybXJZS3JRVnJ3M3B3bU9lRW8zendhYmF1YjBDanA4emszUk1JTjNoanBfMHh5enZYQmswTnM0ZHNlUjQ0eU5KdklVV2FGLUlHXzlkY0hyMHh4cjQ1QkNJR29fcFhHMFZQVXdsLWY1Nmg5bEx5cW9XbV9aaHE3eDQ5R25JYzZBUFB0dmdxNHRXUEhIQ3FpU3NfNWlUajNhUGI1dGJ3Qlp4LXFjMU03ZEI0RkhrNUJzd3lqSjcyUVJWRFFJTnVoVi0yT1FvU1M2b1ZoY2EyYjlwaWpGeXVnNWgwU2lkdHRQUF9OWVNUNk9XaEtVYTBQQnBwN1hDRUp0aDBXLVl3ZlZiLTEyVXLSAbICQVVfeXFMTjRyOTVyVUdPa0w3Z3NTU0xhUW1RMEdSTm1oZVFLMHVlRWxfdVpQRDM1cDFaeERfUG9zamVBTERzYmdwWWZDN21RM3FXT1MzTklKRUxEVXVSRm02QW9QMkdScUNIZDZCTzhFckUyemlYN1kyNVBoZDhpbTFJcG1MWTFJMzZpVjNCTnhUbUlhRThsR2ZTOHo0bGtJeTJmVUVJeHJzcGVwM3RPejJGcnl2WmVneHVlRm9STXZzVEM1VEVJR1V0SmNQOGZhSHNDZ2lNQV9Bakx0U3VMZWItVHlGQjlrRU0xcXBzU0RHOUJ5UVdpYjZMdDctak0zVzNXTmtMdko1OHFNd0h0RTYzbkNTNXlneWtBVm5KckQ4TDFRUzBaV1pkaHpaYW1hbF81SUtIdnZB?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-04 08:00:00,"Sensex soars past 48k, Nifty ends at 14,133; metal, IT stocks shine - livemint.com","Sensex soars past 48k, Nifty ends at 14,133; metal, IT stocks shine  livemint.com",https://news.google.com/rss/articles/CBMizgFBVV95cUxOYUFVLWdNbWRZbnlZaHVnZjZJenZPN0ZZbzZ2QXdUX3JIVmxBc0lQTWN1NWYxd05KWDBIQlR3RmxWT1ZFS282MkxmNWd2Vlk5MVRIRUxJVmdMV1NmNE9RSlFCenJwbXBUTTdTalAyLVdXcjlITGlMOE1lRm1FX2pDZjQwcU1MTUthRlhuNDVIQ0ZlX2xIRzNKY1BBYWVnN2NqcHR1ekdsMTlWYk1DTDRJRGpvbE1QTVIzd0pNNjBPSFBGR1NOX0txTHdOdzhQZ9IB0wFBVV95cUxNZE1ZWmRrT1RiV0dfUGxwczRyb1BzX2xTeTBiR2s2d3FNLTA3M1B2aDJON3VNS2VCb3VPZmpqRUkyTGlhYjc4a1lnWnhHWWJxenRsVVZKN193WnpoZUFVOU1Hb3JVbkw2dUxwb0J5Sk4yMTBpeHltQUZVRGpaeWlZSURhVkNodWg2T2U1S2o0c2ZCRFdQdGJTdks3U3MzbU9vNTVveUtYbGI3SXI1S25SUVlsSllpVnQxSXVEY3VVeXExeFpSWV94bVVMaTlKUkp4Y1Vz?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-01-05 08:00:00,5 Affordable 50mm Prime Lenses That Will Improve Your Skills - The Phoblographer,5 Affordable 50mm Prime Lenses That Will Improve Your Skills  The Phoblographer,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNQ0l1SmNfaHB2eVo3OUVLRWZ0Q0lhU0x0UjhJQV9PUmRCY1lYek4wbkxOU3JfTVVXdmhncDIyR1ZPd3NVaUc5Y1NON1pxYzNaM01ZTUtEM2E5WjIxTUk3VENEZFNiTjVlSXE3ZmtELWJobkptZU1adWI4UHkzRVk0d3pYRXM4bDZJNEp6VzJILWhWWmp1aVpKQmRmNHpQN2p4WTZjZXBIUUg?oc=5&hl=en-US&gl=US&ceid=US:en,The Phoblographer
2021-01-03 08:00:00,New Zenit Zenitar 50mm f/1.5 looks set to be far more than merely 'nifty' - Digital Camera World,New Zenit Zenitar 50mm f/1.5 looks set to be far more than merely 'nifty'  Digital Camera World,https://news.google.com/rss/articles/CBMirgFBVV95cUxPWkJzTzVGS2J4LVpQLTBxc1c0eTZVRDlpeld4YmdxdTdheEdIem1SY1lUTWFiSUw5bktJTVJnX2dhaGt1VkoyTlVIMWhjZDg5bVh3M182azFabVdVV2N2X3lIRURvZHRLWEpuOUlMTElIZ3lROTVrX2g2T3hXWi1pR1FFUUl4dFdGc1JFVFVMS1p6R2F0Z2NWNVZGaWFxdWxlaFViTmNXTTVEdmpiTXc?oc=5&hl=en-US&gl=US&ceid=US:en,Digital Camera World
