Date,Title,Description,Link,Publisher
2021-01-01 08:00:00,"Sensex rises 118 points to settle at fresh closing high; Nifty ends above 14,000 for first time ever - Times of India","Sensex rises 118 points to settle at fresh closing high; Nifty ends above 14,000 for first time ever  Times of India",https://news.google.com/rss/articles/CBMikAJBVV95cUxPaFNtRzFkUWZITW5Lb2NZVVo0blNudDd4QlowdWhRa0M2N05ETVAxU21ERUlYRXg1dk5yZThrRnlONjdzNHRLYjRVVmRSdU1ObXM2cEpwWlZReW5qcEV5MmRsNnNzMmZSTFBGQjA1R193Sko1Tk9fYlZSMXdWYW1Ja2VXTFZSRk0za0F2Z1RxVjJNSVdBNVR1RHR4XzVoUkxuVUxoaVVkd2JETlFEMXhXYWdzZGtiM0g1MTFPNlBxR0pDVVQwVTBGMnU3cHVOb0Y2TE5SZ3M1Wk5ucTZaeldUTHlNYXY2NTVuVi1yY1o1bUZfN3NPU0FKcV81NjV0MDlNWkpDQnhiajFIeFZWbVI0c9IBlgJBVV95cUxPTlY1RUpaLTFhTW9rRFRwcVRFMlpaM3phcmViQmhUUHdYZGhxeW9fTkxYUktVNFhCSFo4dEJuUkRQVi1rUWdKRl9ETnk0RTFuN1dzbjdQRkRTWElVTEVvaVVWbFZKRG0zQkFJRmw3MjBOU2Y2bmIyX2xMR2xMaVF0QVdUNXRCZGxZRnU1X0xvblIyLThFSUs5NFpKWk9nUGYtcUs3REJ5eDhMQVFYZmJXUnpxQzlBcEJGdU01RlRCS3E1bVFmMGFueWhqWUsyWFRzdl9ZWV95TmEyQVEzMVNlUmZpbXRscl9nbWNTcmw3cHcxb29TSjFDMDNaZUg3U3M1anBZQmtzdUFBaEkyYUtyYzh2UjlmUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Times of India
2021-01-04 08:00:00,"Sensex ends 308 pts up at 48,177, Nifty at 14,133; Nifty metal surges 5% - Business Standard","Sensex ends 308 pts up at 48,177, Nifty at 14,133; Nifty metal surges 5%  Business Standard",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQUXlVWmNQUlJ4XzZvclktVjY5YVdxbzZ3UDVfVXpBbUxaY2Rza2h2ejFwbDRaTlI0VFNqMnZodXJDaUFheDd6dHc4OUZwSUJORzhmRkhGdGY1QmZlVFppaEVlelk1b2x3SWw3UGNTdlVPTXpwSzRqeDloZWpWWDV1UU0yTDZyM2dCbnlqWXY5ZzNrX08yc0lkbmxWb0tiV250clR5Nl9acHhiUk9qQlVOa0NBRVZLVTUyMkthNjMxNlZORjROZzlQWHFjV05aNUJVT0NOZm5fNE5Yd9IB3wFBVV95cUxPS1F1SXBEcDQ4WWR6V0k0Tm9rZDBCQjJTbURTaUNzTTR4VktuWk9xNUNSdHMtaUZBN240SDV1Z3RVT0dMeEs1ajhNOVM2cDRoVW1ra3FuZ2x4UFVXdEpTXzNadEtzbEVRT0Y4MllFZUZLS0dxNWlPWVlpMkNadHhIaDBQRHNYZGNheDdSX0JTRGdoVWpDRWRiTVJuREVEYTQ2ZkFiVVRYTnd1WWU3ZHE2NkRDLVFnaWJOdDg0a2hWSnZPbE1uV3FPcGdrWUdKZEJoaTVZQ3k5Ry1DV0N4alc4?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
2021-01-05 08:00:00,"Closing Bell: Nifty ends at 14,200, Sensex gains 261 pts led by IT, financials - Moneycontrol","Closing Bell: Nifty ends at 14,200, Sensex gains 261 pts led by IT, financials  Moneycontrol",https://news.google.com/rss/articles/CBMirAJBVV95cUxPeC1YV09lNFZqd1ZxaTNBbXNEZUF6WDBLQmU5djlDTHpybXJZS3JRVnJ3M3B3bU9lRW8zendhYmF1YjBDanA4emszUk1JTjNoanBfMHh5enZYQmswTnM0ZHNlUjQ0eU5KdklVV2FGLUlHXzlkY0hyMHh4cjQ1QkNJR29fcFhHMFZQVXdsLWY1Nmg5bEx5cW9XbV9aaHE3eDQ5R25JYzZBUFB0dmdxNHRXUEhIQ3FpU3NfNWlUajNhUGI1dGJ3Qlp4LXFjMU03ZEI0RkhrNUJzd3lqSjcyUVJWRFFJTnVoVi0yT1FvU1M2b1ZoY2EyYjlwaWpGeXVnNWgwU2lkdHRQUF9OWVNUNk9XaEtVYTBQQnBwN1hDRUp0aDBXLVl3ZlZiLTEyVXLSAbICQVVfeXFMTjRyOTVyVUdPa0w3Z3NTU0xhUW1RMEdSTm1oZVFLMHVlRWxfdVpQRDM1cDFaeERfUG9zamVBTERzYmdwWWZDN21RM3FXT1MzTklKRUxEVXVSRm02QW9QMkdScUNIZDZCTzhFckUyemlYN1kyNVBoZDhpbTFJcG1MWTFJMzZpVjNCTnhUbUlhRThsR2ZTOHo0bGtJeTJmVUVJeHJzcGVwM3RPejJGcnl2WmVneHVlRm9STXZzVEM1VEVJR1V0SmNQOGZhSHNDZ2lNQV9Bakx0U3VMZWItVHlGQjlrRU0xcXBzU0RHOUJ5UVdpYjZMdDctak0zVzNXTmtMdko1OHFNd0h0RTYzbkNTNXlneWtBVm5KckQ4TDFRUzBaV1pkaHpaYW1hbF81SUtIdnZB?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-01 08:00:00,"Sensex, Nifty end at record high on first day of 2021; PSU banks shine - livemint.com","Sensex, Nifty end at record high on first day of 2021; PSU banks shine  livemint.com",https://news.google.com/rss/articles/CBMiygFBVV95cUxOOERxSUo5WUxQbnZwZzFmMDM0aFN3NnpMQlVOQ1lRblFTS1FmRkw0WXNfbklaZ0RHM05zbEVpWEJZSV91QWd1RHBkWXR6QmJtemxzWW91TGpSNHdiVEFmemxLd1hKaXdsYzNNRzQ4MnJoQXhKam5neTZmQ0toMmpieWhaMG1UMjBJaUM4NGdfTDRhRlZWbzVSUnRwWTJyMzlVdXNqUnl4aTI5STAwaXJsZmctU3lxQUZkYU0zdkp1VS1DN0pTckluQXNR0gHPAUFVX3lxTE1zQWJNbjZWaE5nalZzY1hqdUVzc0tnTm5raU04dUZnc09tbXlBTDU3OGsycWpYc214U2JEREs2R1V6REE1dEJxMkFhWV9CNkVTR25pOFdydjVnQWFYQWFxbkhmekZadkxZOUpTQm1xa3hLV3hUOElYT2NublJPZDZ3aXdyY3ZLSXZhbC1oRUlkcHk5cjVfelYtZWVJQi1pcTFXZVcweTVuOGJ2QWpydGtDOUY1Y3NuWmxIUk9IaWtWNzZMTkxreU5OZEtpRXZ3SQ?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-01-08 08:00:00,"Sensex ends at fresh closing peak of 48,782, up 689 pts; Nifty at 14,347 - Business Standard","Sensex ends at fresh closing peak of 48,782, up 689 pts; Nifty at 14,347  Business Standard",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQd29qWHFTS05uWEVDYzN3dzdITHdaVEpUNjVSanZHckR6R29hd0JRelB5T043bmU4RzhVaUtPbFZCaVdGeVRydDdNS3ZMYXF5T3FENk5nakZZWUhWbmRKTEtzVVVOVE85czduUUs0bkl5bXpZU2lVLUF4QkFJZXhqbHJlZmJxTGZ5VXdMSDdqT3RDU096Sk1hNi1Objg0ZGM1aFFTemdfSXhYZnI2QkdRUlh6V0Q2TFdvcVhndDYxeWpNdFhlZlc0SjBFVU40NjRPcVE4d3FtMHYtUdIB3wFBVV95cUxPRjlVWFpjRWFuZUtqNjZaLXYxVUdYV3FRR3hMYXdnSkM1RmhNTklaQWhKcGFvZlNVanBLcS1oZERRNzJvNDJfM01tdUhNbndOQ0NubmxORWJVOWZGRWxjQ1lrT0g4S0NwU0lNakljNW42ZW9WZ3BiR05aSzNBZEwyZmUwNFRDQnBncnREWVFSMERqZ0NTSW5mTHdWNEM3YVFNdUl0eHVzTzFRVDF3TkhERmo3enZ2MF9Hd1RadGhIbkd0OUZEWlpJU1ZWV056b19LMzlhMmUxblE0LW9PbUs0?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
2021-01-06 08:00:00,"Closing Bell: Nifty below 14,150, Sensex falls 263 pts drag by IT, FMCG stocks - Moneycontrol","Closing Bell: Nifty below 14,150, Sensex falls 263 pts drag by IT, FMCG stocks  Moneycontrol",https://news.google.com/rss/articles/CBMi6wJBVV95cUxOWnAySFpTQjVVdWl0UUlFdGd1cUtaczBpQlAteS1vZGZ1TVI0UjZNckxDZnRVeE1pbDBCaTJPaVVSR2NpY01UTk0wNVJtTWZKWktLUldnMUg2VTI3a2NDb2hYcXhhR2hJQjRHRC01RkZpT1I3d2tROG9SRlJpVHBQT0xNTG9Wb1ZZVFh3UFFJd0ZtTUh1S24waU1VZm5wd2NXVVUyNVM1MEJWM1NYN0d1N2M2RGxla3lFYXgyaTFrelhZRmZZYTNRX0NkdHBhb0dNOVljMEIxTkJvc1NjaEpkSzJnMWJoZGVnYTJEcnMxSS1DZ1ZoUC15MHlQQm0wX3pxOGNKYklwRHZOalg1cTdPUVFvSWpRT2JoTkZLeXBwRlotTE1VcDZwbTZMUGpoeERqZmtNclRKVUo0LTBOTnBKQzRqemR5MmN5Z2VCbTUwRjVWaXVlRWxrNVBlbFJWY1V6MmxBaWNMSHhwcWfSAfACQVVfeXFMTWgybHg0U1FSSFU5anA2cTBQTW5CeF94RTlxdVdDUWZBWncwRmNwZ3lXMUo0THdvbFR0dzktamExdFJCSzhCaDhyNEdzNzk3YVZ6Z2JGOFExa1NzUUtPMGo0VG9DRmFMOW0xaG1Tb2RIZXdhTzVUSlBjU2pWUWMwR1dCQThsNUh2TzBoWEhXd004cGZ6cGlmQ2txV25LbVhuTzQzVkRVaGE0RjRyd0JSV3ZOWG1mQUxKNDdJWFFjYktkcFo2T1haRmUwNXR5RzI5aXhSQ1FMVzA1cFJxOTJmZGpJcktsZEFDTTdPaGk5Tm1PU05aQVM5c0JEeWg1clhhMmV1MG9xSC1mSHNfams3TVZrRWQxWjA4dVpabW9PYTdkSHRXS09jVThGbmctbElYX2lGTmM4OGhGWXFYM3o5ZnYxZWlLcTdZYmsyVzBfZEd0dFdxQ1gtNDIzMUpFZFh1WUVQWnRZWldYSzg1QkRyOG0?oc=5&hl=en-US&gl=US&ceid=US:en,Moneycontrol
2021-01-03 08:00:00,Indices near day's high; metal stocks shine - Yahoo Finance Singapore,Indices near day's high; metal stocks shine  Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMiggFBVV95cUxOYW9zbFY0VHNwV09odXE0dW9wYzE1ZXpDM25SQzdTMzhKaE5XZTRQLUEwdnJNVHlQOV9XLUQ1RG9taXJPeDhjUWdEQVMwUS00Tl9WbDFndVFRc19SN1NzOVJoUjdNamdkdzNUNW81ZDEwYmlfMV9EYjdkZVc2YVhOcmxB?oc=5&hl=en-US&gl=US&ceid=US:en,Yahoo Finance Singapore
2021-01-07 08:00:00,"Sensex ends 81 points lower, Nifty at 14,137; metal stocks shine - livemint.com","Sensex ends 81 points lower, Nifty at 14,137; metal stocks shine  livemint.com",https://news.google.com/rss/articles/CBMiywFBVV95cUxQZjV4UUxxb21yeV9xcFJaREJXeXZDd1dTMmdiWkdlWGJJOHRzakVfRVg4N1hOTFRDSzc4UUZhcmd5NzFqQWdyVlppOEN3ZE1qTFgxVUdEM3NwOHBRenl2cE1rWnZJWGFMMzY5OElkUE1LQmNYM2RqUkVfNFBSYlNQQWphbW5oT1Z1RDB1Ri1ZNHZrU2VySU80VVM4dFZteVZJXzFLbUhKc1dFYllwbDUyYmFGLUF4NkNzdUs4bXBQaDU0Qk5Wd3hlcjlCY9IB0AFBVV95cUxPY2ZQb2dSZ29oQWY3YmY1Y0p3R090S0U4ZmZFcGl4VVZ3WThHbTFPQ0tPbjRTYW9DR3NibDNWM285WVN0U3FxN1NDOU45MHRjMXNlZWZvWE11cVcyMVBOVVJnODZhQk9weF92YTVuZG1IeXZ3Mjh1TFMzUm1rUFAzUE9DTXlubXB4bEkyN1hpQnRwS0NSV1MyYVhVVjZKTDBzbXBQQjl1dWE2amI5V25mVE42bW9PRGRDUjR1RGRZUjQwa09YWG1lTGxPcXpVc2FI?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2021-01-03 08:00:00,Conundrum of contrasts in the Indian economy - The New Indian Express,Conundrum of contrasts in the Indian economy  The New Indian Express,https://news.google.com/rss/articles/CBMizAFBVV95cUxOM2NSMUVEZmNVendJNkxwMHF3Wk1jOUVIU09jMEhFeEJDNWdRVDZuU09hNWRnM216Y09TS0haNWFteHYzMnFNZUVLV0Z2elpzOVV0SERVMEZDSFZsMUMtQnFycFUzNGZuZUZqdGg3NW5ONnowbHJwWEJlZEswbmprU2dOVktMM2Y1dkFnQm5VVlhKaUF1MVk2UHdtbnFmUEdGcXZqZnlVRXY0QlY4UU91eTdrbDNJWXAxd0lqTHRsbDdiYUVLLTZ4TXdKSWvSAdoBQVVfeXFMUDV1RDRJU1gtQWtwWmlqT3ZvdFdyRW5kajBOUjByNEJSWnd1c1F1ODZOem9nNkZqWlZ2TkhBc0xNRnRrQjhBUGd3MmdDcTVwM183QlRUN0s1a0d5b3l3clZHY2VKdFVCTndIWjkteG1wRDZwbFVLdXQ0dk9wd0xzQ2hNaGtfdFpHMDY3RmpVRDk3Nk1lei01eVJxTmo3eGpNWC1Tc1VlMm4xcUZwNlRxYmFsLTB3ZmdtYU1ESU9WVVJOaU1ibGpBVUxsajhvTmwxRzJYUTBfdWE3RGc?oc=5&hl=en-US&gl=US&ceid=US:en,The New Indian Express
2021-01-05 08:00:00,"Sensex ends 261 pts up at record closing peak of 48,438; IT stocks outrun - Business Standard","Sensex ends 261 pts up at record closing peak of 48,438; IT stocks outrun  Business Standard",https://news.google.com/rss/articles/CBMi2wFBVV95cUxNalZsY19MQlBReDF0UW9OVGNpc1pzMGtmNGZFZEFPUWJWVmxscm9rUE1qN2hRRnppUVJFeFlPNG5Sbko4ck0tQVNIUE43SHo0QWRUY0F1eGRhTk5LNkNkckJLVjhlcXFtNmtFSENRSFN6b1NrZEZjUkhQSGlJVnRGRVBHWHRBcTFFbGdyQ2o0N0tRdGM3cWxUOEU1UldvdjRscHY2TjRfM2dyVmZjbGw1WHJrd1d2VmVwb29xdDJvdzE0MG53ZUJtaHQ0RzVNM0M0ZS04NVIxbDE1NlXSAeABQVVfeXFMUDZNN19YWlJFWlRxOVR5OEVZWnNETjhyNjVVSXBuUXlsd1VVY3VqbkJJQ0xTLUNOX3hUemlCcVhhRU9fbWlqbXQ5NXlxbnRsMkpkT01OOHdtSVphZXNoMWh4bktSc2REaGI1Wi1LeGZmYUVGZVpqbElmY0FnUUNPaXE2SkMxX3p1bVkyUXVBTmJXSkVoQ2tXUjJMN2x3ZGZhdmQxMWdaZG9VUDdyejBVMk9aTTVQOUM3OVRGSHg5SXFCanh5OWRIUkVPLVBmcTRSNjdQRFNuLXlOS2x4LWQtTk8?oc=5&hl=en-US&gl=US&ceid=US:en,Business Standard
