Date,Title,Description,Link,Publisher
2026-01-08 12:32:05,Why Indias Overreliance on Russian S-400 Missile Defence Systems is a Strategic Gamble - TheWire.in,Why Indias Overreliance on Russian S-400 Missile Defence Systems is a Strategic Gamble  TheWire.in,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPQW9tbDFPeW1rZktRaERMUHlNWmRQNDNPQmR5YXc4MG9ETVYyWmF6ZlBoYzc5dDVRY1lMa3pCLTVqV08zNTVjcXVBZnNSNTBmcExJQlI0R08tVkk1cy1uZndNNVFQTUJ0VUhzcHJRN0FPNW5zOFlJMWFhZ0ROYUN3SXV4dzlsM1pJYWc4QVNoTkFSb05MUm4tOEFzb3EtMmh0SHRLSjExZmROMkp5Qzg0ZXMxS205R0h6M01aTGlZNW5WZ9IByAFBVV95cUxNb3B1d2ppaHNvUTlFZ29vSnBvRzFwaVZ3TjhFSThYUUZNMDJVYVBmb2lBR2lKYUlLZW44XzNqbjdiRFM5MUxpTU5xOXEwR0IzeFZudVVRRGhTY1dJU3V2R3RyVHdqRXFYbk5meVZkdnFOTjVSaVJmU2s1aXRJNEFtbkxILXRDRURGbjRZUkdPRTdfU3pRWkVoemNwdURKSE80anlJcDB0bGU4OF9LcHNoUWVTZkhvS3JzcWgzampQcUxCM2dBTWFzSw?oc=5&hl=en-US&gl=US&ceid=US:en,TheWire.in
2026-01-09 15:07:00,"KLIBF: S. Hareesh on latest work Pattunoolpuzhu, its dissimilarities with his debut Meesha - The Hindu","KLIBF: S. Hareesh on latest work Pattunoolpuzhu, its dissimilarities with his debut Meesha  The Hindu",https://news.google.com/rss/articles/CBMi6AFBVV95cUxOSzVySmJLMFQ4WmFUR3dMQXhhSDdDZmRJUm9vY0RTVkJ5bG15Zk9RN0dvTWYtZnNVY2lsZHpESVM1OGhnOVpoR0I2dGR2WU81bUJsY0R2NWM1dHQ2NHJrQmdYNDM2ZnlvVkJiZ29uUjhkVkFhMjdhZEU1SU5UMG5vdk5FQWRqWFA3WEMwVUtrckhUcldtV0txOWN0QUE3SEdNU0FNUkI0RE9fX19HZFhJNmYyZjZBQ0FJekRQSHFzLXZmdk44VndSQXBTbzdLR19ScXZQLV9UZ3V4ZDUtQS1lN0JrdG5EODFZ0gHvAUFVX3lxTE5sQnFKWVRPb0ZfV3JScFpZXzVTaW5mdEVvS0NIdnh6QXNGS2tEOUQtS0w3UE9zNnJtMnl6VUMxYWNzbWdJT3NITlZkY0tTNGM5R0d5aXdDTFhMRFBLNmtjcjlVUjFrNEtsd2Vad1FvdEd6bUFveUQ3Q0hZM1NrN3h1UUxUUURNN183YzRGSTZkbmNqcmlvb2NYaEMzOXpTTlNsWGFFU0U3Ty1XQjZURkZiYUJzTkgwZzV2THpwb3JvaEFnaDhXTzNWZU8tMXhkejBnQmVmQkFUdmFGOThGMVFVV2p5dDc5NUtJdnpabjZV?oc=5&hl=en-US&gl=US&ceid=US:en,The Hindu
2026-01-07 18:29:55,RFK Jr.'s new dietary guidelines go all in on meat and dairy - NPR,RFK Jr.'s new dietary guidelines go all in on meat and dairy  NPR,https://news.google.com/rss/articles/CBMihwFBVV95cUxQaHlyRExUeXUwWnE2UWNicmhLRW9LaE9qbjVKUm9VRndZMVZRNWNtMVFoaXZQNjJBT2gzcXNtOGtFVDVtWGNvblZqeVVQUlZsMkswUXlrZWRzVEZLaWVYN1pFbno0TkdhMG84NzRFbHVfeDBoUjhNTjZYelZYM2xOckFpSktNQUU?oc=5&hl=en-US&gl=US&ceid=US:en,NPR
2026-01-10 09:14:12,Mahindra Vision.S spotted testing again; Inches closer to 2027 launch | Hindustan Times - Hindustan Times,Mahindra Vision.S spotted testing again; Inches closer to 2027 launch | Hindustan Times  Hindustan Times,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQMXd2d3NOZFBoaVZjNUlWaTJrVzhzVEZqQU5IS0FVU3A1MmpwSjdxRjQybWdUVVpRdDhSMEJXdlZRYk5MeUZTRkpDdF82ak9wb2JPOHI3bUJZYmtNZjZ5NV9JdWF4c2RZRGp2RDFQOWdLYjVueVd3aHF5R0NVNnVrWWE5U3ktUWdXM0VUY0J0WFZiMEptQXRIZXR6QUpzTGFGMVBLbzdkakJETFh3cXNmZzFlbmp6Z096Si1FeVVnMmhCQU9fbmVmUdIBzgFBVV95cUxPcnBBdjFXNGRLUFBtZmFyRG5OY251bnZERWU5MzNtbkJhMlRHQl9EaWRoUHphUk9ldDBydUVzNEx6LXFUb2pYdllWempYXzBkOTNvX1VUaGlnYmRJNmgxbE10ZWxTYXZRYlk3RHdzSHVjQmNXOGJEY0VUczNzaDZXRlZFNWJLbi1kVndYUGxIZWNJcTNYWklXd3BRNXY2bnA5cFhjaXNOZW1nWFkxOHhpX0tfR0R6NXVoUzR1TXR5VGlTTDdkVmp4V1ZiS0U1UQ?oc=5&hl=en-US&gl=US&ceid=US:en,Hindustan Times
2026-01-07 13:15:47,"U.K.’s New Visa Rule Starts, Affecting Connecting U.S. Passengers - Forbes","U.K.’s New Visa Rule Starts, Affecting Connecting U.S. Passengers  Forbes",https://news.google.com/rss/articles/CBMivgFBVV95cUxNYkcwRFFvcFd3ekx3MHlVQUJLZ1d5b1RQNjRlbl90aV9aVTFVejdwVVhRZmE2eDBIMlZ5czVkQzFtWjdzYzY5UzRJVVdsekhJUDE1TEhKbVVCNWo2Ym9VRFY4WFVwei02cUNXTGhzVFFSbWt6SFZseXhrVkFzOWpLbzEwN01yVUhBOGxzUm1wREQ1YmlXT1d4ZjQ2c1VjTldqSENVcTRibUFjQm13NzMtYXdqRjBkQ1Y0RHUxQ3lR?oc=5&hl=en-US&gl=US&ceid=US:en,Forbes
2026-01-09 15:33:00,"Russia Joins Chinese, Iranian Warships for Drills Off S. Africa - The Moscow Times","Russia Joins Chinese, Iranian Warships for Drills Off S. Africa  The Moscow Times",https://news.google.com/rss/articles/CBMirwFBVV95cUxNU2FCQUMxYUtvMXRfYXVrXzM4U1JWVXhnbmN4OGxuU1VLUVNJNW9rN1g5UHBTTVdiemtFQkpmcDhpZjNoNmxPOGdYYUsyZ2o5dDY3QkozY1U0SFdqa1BYTWxVT1c4bDB1M0xpcFZkd0JpWHdEYjRpVUsxYWhXQTJ1bmlYa2M4dlVQakpWU1lTRW42V2tlRW5jZlZrM2Ezb3NCWWlZOGZuUDkwb2xBcnlv?oc=5&hl=en-US&gl=US&ceid=US:en,The Moscow Times
2026-01-09 23:55:24,‘JD(S)-BJP will win 150 seats’: Nikhil Kumaraswamy - Deccan Herald,‘JD(S)-BJP will win 150 seats’: Nikhil Kumaraswamy  Deccan Herald,https://news.google.com/rss/articles/CBMinwFBVV95cUxQODJTemxSMHE3LWdNLXZkclpMS3RGVng2WWRFMWtudl9lTTJGWmIzRFFmajJRT1dreXFJRzBNbVNFS0VtZ2JiX1FNSWNjTzY2bDNnN24zNzZaQTJrUHRLVmZFaDBHWDZLb0JpZ0xUNVZ0S3BSWjRxay1TaC1DemQzN3NJWExvaU03cFNXclR2WXJNdjdMb2QyUjBvczFPRFk?oc=5&hl=en-US&gl=US&ceid=US:en,Deccan Herald
2026-01-10 02:30:11,"Manu S. Pillai: How purdah shaped women, power and politics in India - livemint.com","Manu S. Pillai: How purdah shaped women, power and politics in India  livemint.com",https://news.google.com/rss/articles/CBMipgFBVV95cUxQb3VGalY4STdUdlNTdWRMSkIyWVJBLTA2WUNPZ280NG1mMGtqUHE1SXpzSi1aU1ZPVUFnUkNDSnVvdmhOS2lNSmZQYjJmUmt5di01VGJTVEplTG1uU1RQcE5FQm1fYkNzdmdxSDVoREFkM2dFOU5UblFpWnZPd3BFZVJiNWxYMXlxVWJvNGtDOEhqSl9DVkNiSXNJRG9JS2MyLVFQdElB0gGrAUFVX3lxTE9sQ3dDZmptWDIyNDVvUnhST3p5eW9ZbVFKQi1VRkhCU0JmeE1TYll5dWpkMDhCOG1oZzZsZWxzMVZ4RHNSZFlRZDQyTG1JVHMtYnZXYkY1TmhlZEcyWWlmTnFYOHJKRjg2VWVGNVp6VVlTQjNSLUpyWUd4bVFZdmtnc3oteDVXYy1WdFB4RWFTSmFKWHpubDBDcEU3UHJQM3NuZjJPcUV6WlNFSQ?oc=5&hl=en-US&gl=US&ceid=US:en,livemint.com
2026-01-10 08:18:02,Former CPM MLA S Rajendran likely to join BJP; holds talks with Rajeev Chandrasekhar - Onmanorama,Former CPM MLA S Rajendran likely to join BJP; holds talks with Rajeev Chandrasekhar  Onmanorama,https://news.google.com/rss/articles/CBMixgFBVV95cUxPWlhhM24tY2pidVdmYktvNHF2R3NYU01KNVdtNUljZnBDV2JZRjZydXJ2d1VOWTMzNU5ubVlHN3NreGo5bjZ6d2luQU5JcjFUZXE2dGZ0cm11RUtlSFBPSGRXYTFWeG1kcTd3bnFXdzl1c2VBTXhMcjlkY2k1ZEpROWxPR01lVjFIdHlub0I4UlZ1bWdiQnRuWWVDR2hsT2VXeUJJMW5xbGRGSTZ2dGJNTHFWNmxJWlVnZS1oYWhSRVlBbFZqaEE?oc=5&hl=en-US&gl=US&ceid=US:en,Onmanorama
2026-01-10 14:41:00,Former CPM legislator S Rajendran to join BJP - The Statesman,Former CPM legislator S Rajendran to join BJP  The Statesman,https://news.google.com/rss/articles/CBMinAFBVV95cUxNa0hwcTRPTEFpMWJzWFEyT2RGelBxOFlsV0JJLUxiaEFtYjdUOW15c1BYMURMenpzNkhSOWF2UHd0UUlBd3VOQjdwcWtVV1FoUHhIbEJQckFiWVJSa1V5ZkVkZEdHSEYwRkJVVUpGaVpuek0yNU05MjhMS1dsQXZncEE2ZU1mUnJseWw1MXZmSE1palVxdU9GenFOWknSAaIBQVVfeXFMT0tUVVA3WkctcUhTVDh6XzlyclFzYjNpbUgyZl80Z0NQb3F0NVFzR0J3OXlQTHdsb0ViUHRJTUgzYnJhRlZaeWZoR3VRamMtT1NnY1lVRWRkUk8zaGVfdTdudDRuaGU3VDVTbG1ueGItbUpWY1g5ZTdXRWRxZXpoeVVWcWVxN1haRUhXclE2TWJUUWlVWWZPRHE4UEFuUEtyZUx3?oc=5&hl=en-US&gl=US&ceid=US:en,The Statesman
